_id,Year,Month,Facility Reference Number,Licence Holder,Site Common Name,Latitude,Longitude,Finfish Aquaculture Reporting Zone,Sample Type,Incident Date,Number of Pens Sampled,Average L. salmonis motiles per fish,Average L. salmonis females per fish,Average chalimus per fish,Average caligus per fish,Comments,Year Class
50,2016,February,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,24-Feb-16,3,0.67,0.27,0.05,0.00,,2
51,2016,March,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,11-Mar-16,3,0.43,0.05,0.02,0.00,,2
52,2016,March,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,21-Mar-16,3,0.48,0.08,0.25,0.00,,2
53,2016,April,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,12-Apr-16,3,1.01,0.33,0.03,0.00,,2
54,2016,April,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,22-Apr-16,3,0.88,0.56,0.24,0.00,,2
55,2016,May,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,13-May-16,3,1.70,1.18,0.23,0.00,,2
56,2016,May,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,24-May-16,3,2.22,0.86,0.24,0.73,,2
57,2016,June,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Threshold exceedance; Pre-treatment,2-Jun-16,3,4.82,1.84,0.25,0.05,In-feed treatment,2
58,2016,June,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Follow-up,n/a,0,,,,,Count(s) not required (<21 days post in-feed treatment),2
59,2016,July,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Follow-up,n/a,0,,,,,Count(s) not performed (poor environmental conditions),2
60,2016,August,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Post in-feed treatment,26-Aug-16,3,0.03,0.02,0.00,0.00,,2
61,2016,September,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,29-Sep-16,3,0.52,0.17,0.11,0.00,,2
62,2016,October,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,20-Oct-16,3,0.11,0.00,0.02,0.00,,2
63,2016,November,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,n/a,0,,,,,Count(s) not required (harvesting),2
64,2016,December,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,n/a,0,,,,,Fallow,n/a
65,2017,March,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,n/a,0,,,,,Count(s) not required (<4 pens),1
66,2017,April,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,13-Apr-17,3,0.03,0.00,0.00,0.28,,1
67,2017,April,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,28-Apr-17,3,0.07,0.00,0.00,0.24,,1
68,2017,May,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,4-May-17,3,0.27,0.08,0.02,0.15,,1
69,2017,May,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,18-May-17,3,0.17,0.02,0.00,0.07,,1
70,2017,June,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,13-Jun-17,3,0.16,0.00,0.00,0.00,,1
71,2017,June,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,20-Jun-17,3,0.10,0.02,0.00,0.09,,1
72,2017,July,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,27-Jul-17,3,0.05,0.00,0.00,0.00,,1
73,2017,August,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,15-Aug-17,3,0.10,0.02,0.00,0.00,,1
74,2017,September,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,29-Sep-17,3,0.24,0.08,0.00,0.00,,1
75,2017,October,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,28-Oct-17,3,0.33,0.27,0.23,0.03,,1
76,2017,November,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,16-Nov-17,3,1.25,0.43,0.22,0.36,,1
77,2017,December,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,21-Dec-17,3,0.79,0.33,0.30,0.12,,1
78,2018,January,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Pre-treatment,17-Jan-18,3,1.16,0.73,0.24,0.27,In-feed treatment,1
79,2018,February,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Follow-up,18-Feb-18,3,0.38,0.22,0.88,0.02,,1
80,2018,March,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Follow-up,7-Mar-18,3,0.30,0.13,0.03,0.00,,2
81,2018,March,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Post in-feed treatment,24-Mar-18,3,0.10,0.06,0.00,0.00,,2
82,2018,April,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,14-Apr-18,2,0.43,0.22,0.00,0.00,"Sampling methodology differs from requirements outlined in licence conditions, but meets or exceeds the requirement",2
83,2018,April,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,25-Apr-18,3,0.03,0.02,0.00,0.00,,2
84,2018,May,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,12-May-18,3,0.02,0.00,0.00,0.03,,2
85,2018,May,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,16-May-18,3,0.10,0.03,0.37,0.17,,2
86,2018,June,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,30-Jun-18,3,0.24,0.03,0.00,0.00,,2
87,2018,June,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,n/a,0,,,,,Count(s) not performed (poor environmental conditions),2
88,2018,July,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,22-Jul-18,3,0.13,0.03,0.00,0.00,,2
89,2018,August,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,n/a,0,,,,,Count(s) not performed (poor environmental conditions),2
90,2018,September,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,21-Sep-18,3,0.14,0.11,0.00,0.00,,2
91,2018,October,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,n/a,0,,,,,Count(s) not required (harvesting),2
92,2018,November,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,n/a,0,,,,,Count(s) not required (harvesting),2
93,2018,December,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,n/a,0,,,,,Fallow,n/a
94,2019,April,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,n/a,0,,,,,Count(s) not required (<4 pens),1
95,2019,May,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,31-May-19,3,0.14,0.00,0.22,0.14,,1
96,2019,June,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,8-Jun-19,3,1.56,0.58,0.08,0.02,,1
97,2019,June,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,23-Jun-19,3,1.67,0.46,0.34,0.36,,1
98,2019,July,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,19-Jul-19,3,0.08,0.08,0.00,0.00,,1
99,2019,July,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,31-Jul-19,4,0.09,0.00,0.13,0.00,,1
100,2019,September,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,26-Sep-19,3,0.55,0.17,0.00,0.00,,1
101,2019,October,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,24-Oct-19,3,0.54,0.30,0.03,0.00,,1
102,2019,November,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,23-Nov-19,3,0.73,0.30,0.07,0.02,,1
103,2019,December,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,12-Dec-19,3,2.63,1.50,0.28,0.92,,1
104,2020,January,1698,Grieg Seafood BC,Ahlstrom,-124.15395,49.77930,Sunshine Coast,Threshold Exceedance,8-Jan-20,3,7.78,3.54,2.11,2.79,In-feed treatment,1
105,2020,February,1698,Grieg Seafood BC,Ahlstrom,-124.15395,49.77930,Sunshine Coast,Routine monitoring,12-Feb-20,3,1.68,0.93,0.27,0.05,,1
106,2020,March,1698,Grieg Seafood BC,Ahlstrom,-124.15395,49.77930,Sunshine Coast,Routine monitoring,6-Mar-20,3,0.78,0.57,0.15,0.03,,1
107,2020,March,1698,Grieg Seafood BC,Ahlstrom,-124.15395,49.77930,Sunshine Coast,Routine monitoring,14-Mar-20,3,0.20,0.13,0.02,0.02,,1
108,2020,March,1698,Grieg Seafood BC,Ahlstrom,-124.15395,49.77930,Sunshine Coast,Routine monitoring,17-Mar-20,3,0.18,0.10,0.00,0.00,,1
109,2020,March,1698,Grieg Seafood BC,Ahlstrom,-124.15395,49.77930,Sunshine Coast,Routine monitoring,30-Mar-20,3,0.28,0.15,0.00,0.07,,1
110,2020,April,1698,Grieg Seafood BC,Ahlstrom,-124.15395,49.77930,Sunshine Coast,Routine monitoring,7-Apr-20,3,0.12,0.05,0.00,0.00,,1
111,2020,April,1698,Grieg Seafood BC,Ahlstrom,-124.15395,49.77930,Sunshine Coast,Routine monitoring,13-Apr-20,3,0.22,0.12,0.03,0.02,,1
112,2020,April,1698,Grieg Seafood BC,Ahlstrom,-124.15395,49.77930,Sunshine Coast,Routine monitoring,21-Apr-20,3,0.25,0.10,0.00,0.03,,1
113,2020,April,1698,Grieg Seafood BC,Ahlstrom,-124.15395,49.77930,Sunshine Coast,Routine monitoring,28-Apr-20,3,1.15,0.82,1.38,0.02,,1
114,2020,May,1698,Grieg Seafood BC,Ahlstrom,-124.15395,49.77930,Sunshine Coast,Routine monitoring,3-May-20,3,1.10,0.18,1.15,0.00,,2
115,2020,May,1698,Grieg Seafood BC,Ahlstrom,-124.15395,49.77930,Sunshine Coast,Routine monitoring,12-May-20,3,0.73,0.20,2.68,0.83,,2
116,2020,May,1698,Grieg Seafood BC,Ahlstrom,-124.15395,49.77930,Sunshine Coast,Routine monitoring,17-May-20,3,1.45,0.90,2.90,0.00,,2
117,2020,May,1698,Grieg Seafood BC,Ahlstrom,-124.15395,49.77930,Sunshine Coast,Routine monitoring,25-May-20,3,1.80,0.75,1.03,0.00,,2
118,2020,June,1698,Grieg Seafood BC,Ahlstrom,-124.15395,49.77930,Sunshine Coast,Routine monitoring,1-Jun-20,3,1.57,0.88,0.20,0.57,,2
119,2020,June,1698,Grieg Seafood BC,Ahlstrom,-124.15395,49.77930,Sunshine Coast,Routine monitoring,8-Jun-20,3,2.32,1.15,0.25,0.03,,2
120,2020,June,1698,Grieg Seafood BC,Ahlstrom,-124.15395,49.77930,Sunshine Coast,Routine monitoring,13-Jun-20,3,1.78,0.98,0.25,0.00,,2
121,2020,June,1698,Grieg Seafood BC,Ahlstrom,-124.15395,49.77930,Sunshine Coast,Routine monitoring,22-Jun-20,2,1.60,1.08,0.60,0.00,Sampling methodology does not meet requirements outlined in licence conditions (harvesting),2
122,2020,July,1698,Grieg Seafood BC,Ahlstrom,-124.15395,49.77930,Sunshine Coast,Routine monitoring,7-Jul-20,3,1.22,0.73,0.03,0.00,,2
123,2020,July,1698,Grieg Seafood BC,Ahlstrom,-124.15395,49.77930,Sunshine Coast,Routine monitoring,21-Jul-20,3,1.63,0.77,0.07,0.07,,2
124,2020,August,1698,Grieg Seafood BC,Ahlstrom,-124.15395,49.77930,Sunshine Coast,Routine monitoring,4-Aug-20,3,0.83,0.40,0.23,0.07,,2
125,2020,August,1698,Grieg Seafood BC,Ahlstrom,-124.15395,49.77930,Sunshine Coast,Routine monitoring,18-Aug-20,3,0.92,0.55,0.00,0.02,,2
126,2020,September,1698,Grieg Seafood BC,Ahlstrom,-124.15395,49.77930,Sunshine Coast,Routine monitoring,n/a,0,,,,,Count(s) not required (harvesting),2
127,2020,October,1698,Grieg Seafood BC,Ahlstrom,-124.15395,49.77930,Sunshine Coast,Routine monitoring,n/a,0,,,,,Fallow,n/a
128,2021,May,1698,Grieg Seafood BC,Ahlstrom,-124.15395,49.77930,Sunshine Coast,Routine monitoring,n/a,0,,,,,Count(s) not required (<4 pens),1
129,2021,June,1698,Grieg Seafood BC,Ahlstrom,-124.15395,49.77930,Sunshine Coast,Routine monitoring,n/a,0,,,,,Count(s) not required (<4 pens),1
130,2021,July,1698,Grieg Seafood BC,Ahlstrom,-124.15395,49.77930,Sunshine Coast,Routine monitoring,9-Jul-21,3,0.05,0.02,0.10,0.05,,1
131,2021,July,1698,Grieg Seafood BC,Ahlstrom,-124.15395,49.77930,Sunshine Coast,Routine monitoring,22-Jul-21,3,0.18,0.00,0.30,0.00,,1
132,2021,August,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,8-Aug-21,3,0.12,0.02,0.00,0.00,,1
133,2021,August,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,18-Aug-21,3,0.08,0.00,0.05,0.00,,1
134,2021,September,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,3-Sep-21,3,0.17,0.02,0.10,0.00,,1
135,2021,September,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,23-Sep-21,3,2.57,1.40,0.08,0.03,,1
136,2021,October,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,2-Oct-21,3,1.30,0.78,0.00,0.02,,1
137,2021,October,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Pre-treatment,11-Oct-21,6,1.45,0.96,0.03,0.00,In-feed treatment,1
138,2021,November,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Post in-feed treatment,18-Nov-21,6,0.17,0.06,0.00,0.07,,1
139,2021,November,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,27-Nov-21,3,0.18,0.03,0.00,0.00,,1
140,2021,December,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,11-Dec-21,3,0.05,0.00,0.00,0.00,,1
141,2021,December,1698,Grieg Seafood BC,Ahlstrom,49.77930,-124.15395,Sunshine Coast,Routine monitoring,24-Dec-21,3,0.13,0.08,0.00,0.00,,1
142,2016,October,7714,Marine Harvest Canada,Alexander,52.67648,-128.57494,Central Coast,Routine monitoring,n/a,0,,,,,Count(s) not required (<4 pens),1
143,2016,November,7714,Marine Harvest Canada,Alexander,52.67648,-128.57494,Central Coast,Routine monitoring,29-Nov-16,3,0.87,0.25,4.10,1.28,,1
144,2016,December,7714,Marine Harvest Canada,Alexander,52.67648,-128.57494,Central Coast,Routine monitoring,6-Dec-16,3,2.53,1.00,6.47,2.63,,1
145,2016,December,7714,Marine Harvest Canada,Alexander,52.67648,-128.57494,Central Coast,Routine monitoring,20-Dec-16,3,1.48,0.33,4.17,2.07,,1
146,2017,January,7714,Marine Harvest Canada,Alexander,52.67648,-128.57494,Central Coast,Routine monitoring,6-Jan-17,3,0.90,0.28,4.72,1.12,,1
147,2017,January,7714,Marine Harvest Canada,Alexander,52.67648,-128.57494,Central Coast,Routine monitoring,18-Jan-17,5,0.93,0.24,3.57,1.18,,1
148,2017,January,7714,Marine Harvest Canada,Alexander,52.67648,-128.57494,Central Coast,Routine monitoring,31-Jan-17,3,1.52,0.22,2.70,1.20,,1
149,2017,February,7714,Marine Harvest Canada,Alexander,52.67648,-128.57494,Central Coast,Routine monitoring,8-Feb-17,2,0.68,0.40,2.23,3.23,"Sampling methodology differs from requirements outlined in licence conditions, but meets or exceeds the requirement",1
150,2017,February,7714,Marine Harvest Canada,Alexander,52.67648,-128.57494,Central Coast,Routine monitoring,14-Feb-17,3,0.93,0.08,2.92,2.25,,1
151,2017,February,7714,Marine Harvest Canada,Alexander,52.67648,-128.57494,Central Coast,Routine monitoring,21-Feb-17,2,1.03,0.05,4.98,3.90,"Sampling methodology differs from requirements outlined in licence conditions, but meets or exceeds the requirement",1
152,2017,February,7714,Marine Harvest Canada,Alexander,52.67648,-128.57494,Central Coast,Routine monitoring,28-Feb-17,3,1.05,0.27,4.43,2.20,,1
153,2017,March,7714,Marine Harvest Canada,Alexander,52.67648,-128.57494,Central Coast,Pre-treatment,6-Mar-17,6,0.90,0.11,2.13,2.78,Medicinal bath treatment,1
154,2017,March,7714,Marine Harvest Canada,Alexander,52.67648,-128.57494,Central Coast,Post mechanical removal or bath treatment,10-Mar-17,8,0.13,0.06,0.38,0.28,Medicinal bath treatment,1
155,2017,March,7714,Marine Harvest Canada,Alexander,52.67648,-128.57494,Central Coast,Routine monitoring,16-Mar-17,5,0.12,0.01,0.19,0.16,,1
156,2017,March,7714,Marine Harvest Canada,Alexander,52.67648,-128.57494,Central Coast,Routine monitoring,28-Mar-17,3,0.33,0.03,0.40,0.18,,1
157,2017,April,7714,Marine Harvest Canada,Alexander,52.67648,-128.57494,Central Coast,Routine monitoring,4-Apr-17,2,0.08,0.00,0.68,0.38,"Sampling methodology differs from requirements outlined in licence conditions, but meets or exceeds the requirement",1
