"","Facility_reference_number","License_holder","Site_common_name","Fish_health_zone","Month","Number_of_counts_performed","L.salmonis_motile","L.salmonis_motile_audit","L.salmonis_female","L.salmonis_female_aduit","Chalimus","Chalimus_audit","Caligus","Caligus_audit","Comments","Year_class"
"40","AQ1697","Grieg Seafood","Culloden","3.1","January","1","0.1",NA,"0",NA,"0",NA,"0.5",NA,NA,"1"
"41","AQ746","Grieg Seafood","Farm 13","3.1","January","1","0.1",NA,"0",NA,"0",NA,"0",NA,NA,"1"
"42","AQ332","Grieg Seafood","Salten","3.1","January","1","0",NA,"0",NA,"0",NA,"0",NA,NA,"1"
"43","AQ303","Marine Harvest","Glacial Crk","3.1","January","1","3",NA,"2.2",NA,"0.3",NA,"0",NA,"treatment initiated","broodstock"
"45","AQ871","Grieg Seafood","Barnes Bay","3.2","January","1","0.3",NA,"0.1",NA,"0",NA,"0",NA,NA,"2"
"46","AQ137","Grieg Seafood","Conville Bay","3.2","January","1","1",NA,"0.1",NA,"0",NA,"0.2",NA,NA,"1"
"47","AQ304","Mainstream Canada","Raza","3.2","January","1","1.5",NA,"1",NA,"0.1",NA,"0.2",NA,NA,"2"
"48","AQ377","Marine Harvest","Bickley","3.2","January","1","0.2",NA,"0.1",NA,"0",NA,"0",NA,NA,"1"
"49","AQ388","Marine Harvest","Brougham Pt","3.2","January","1","0.6",NA,"0.2",NA,"0",NA,"0",NA,NA,"1"
"50","AQ790","Marine Harvest","Chancellor ","3.2","January","1","0.2",NA,"0.1",NA,"0.4",NA,"0.1",NA,NA,"1"
"51","AQ1164","Marine Harvest","Farside","3.2","January","1","0.4",NA,"0.3",NA,"0",NA,"0",NA,NA,"2"
"52","AQ1031","Marine Harvest","Frederick Arm","3.2","January","1","0.1",NA,"0.1",NA,"0",NA,"0",NA,NA,"2"
"53","AQ1581","Marine Harvest","Hardwicke","3.2","January","1","0.2",NA,"0.1",NA,"0.2",NA,"0",NA,NA,"1"
"54","AQ100","Marine Harvest","Lees Bay","3.2","January","1","0.2",NA,"0",NA,"0.2",NA,"0",NA,NA,"1"
"55","AQ78","Marine Harvest","Phillips Arm","3.2","January","1","0.1",NA,"0.1",NA,"0",NA,"0",NA,NA,"2"
"56","AQ378","Marine Harvest","Thurlow S","3.2","January","1","0.9",NA,"0.3",NA,"0",NA,"0",NA,NA,"1"
"58","AQ1825","Grieg Seafood","Bennett Pt","3.3","January","1","0.5",NA,"0.2",NA,"0.4",NA,"0",NA,NA,"1"
"59","AQ1144","Mainstream Canada","Burdwood","3.3","January","2","2.1",NA,"0.7",NA,"1.5",NA,"0.4",NA,NA,"2"
"60","AQ458","Mainstream Canada","Cypress","3.3","January","2","0.4",NA,"0.2",NA,"0.1",NA,"0",NA,NA,"broodstock"
"61","AQ728","Mainstream Canada","Sir Ed","3.3","January","2","0.7",NA,"0.3",NA,"0.3",NA,"0.2",NA,NA,"2"
"62","AQ466","Marine Harvest","Arrow ","3.3","January","1","0.3",NA,"0",NA,"0.2",NA,"0.1",NA,NA,"1"
"63","AQ1586","Marine Harvest","Doctor Islets","3.3","January","1","0.1",NA,"0",NA,"0.3",NA,"0",NA,NA,"1"
"64","AQ141","Marine Harvest","Port Elizabeth","3.3","January","1","0.5",NA,"0.2",NA,"0.1",NA,"0",NA,NA,"2"
"65","AQ1145","Marine Harvest","Potts Bay","3.3","January","2","2.8",NA,"1.8",NA,"5.2",NA,"1.4",NA,"SL treatment","broodstock"
"66","AQ1136","Marine Harvest","Shaw Pt","3.3","January","1","0.9",NA,"0.3",NA,"0.6",NA,"0",NA,NA,"2"
"67","AQ465","Marine Harvest","Swanson","3.3","January","2","0.4",NA,"0.2",NA,"0.1",NA,"0",NA,NA,"1"
"68","AQ820","Marine Harvest","Wicklow","3.3","January","1","0",NA,"0",NA,"0.6",NA,"0",NA,NA,"1"
"70","AQ1336","Mainstream Canada","Simmonds","3.4","January","1","0.8",NA,"0.5",NA,"0",NA,"0.1",NA,NA,"1"
"71","AQ892","Marine Harvest","Bell Island","3.4","January","1","0",NA,"0",NA,"0",NA,"0",NA,NA,"1"
"72","AQ1288","Marine Harvest","Doyle","3.4","January","1","3.7",NA,"2.3",NA,"0.1",NA,"0.3",NA,"harvesting","2"
"73","AQ1293","Marine Harvest","Duncan","3.4","January","1","0",NA,"0",NA,"0",NA,"0",NA,NA,"2"
"74","AQ1198","Marine Harvest","Raynor","3.4","January","1","1.8",NA,"0.4",NA,"0.3",NA,"0.6",NA,NA,"1"
"76","AQ1702","Marine Harvest","Goat Cove","3.5","January","1","0.8",NA,"0.3",NA,"0.1",NA,"0",NA,NA,"2"
"77","AQ1691","Marine Harvest","Kid Bay","3.5","January","1","1.1",NA,"0.5",NA,"0",NA,"0",NA,NA,"2"
"78","AQ1896","Marine Harvest","Lime Point","3.5","January","1","0.2",NA,"0.1",NA,"0",NA,"0",NA,NA,"1"
"79","AQ884","Marine Harvest","Lochalsh","3.5","January","1","0.6",NA,"0.2",NA,"0.9",NA,"0.3",NA,NA,"1"
"80","AQ1895","Marine Harvest","Sheep Passage","3.5","January","1","0.1",NA,"0",NA,"0",NA,"0",NA,NA,"2"
"83","AQ1169","Mainstream Canada","Barkley***","2.3","February","2","0",NA,"0",NA,"0",NA,"0.02",NA,NA,"lens site"
"84","AQ1148","Mainstream Canada","Binns Island","2.3","February","2","0.1",NA,"0",NA,"0.1",NA,"0.2",NA,NA,"2"
"85","AQ753","Mainstream Canada","Cormorant","2.3","February","2","0",NA,"0",NA,"0",NA,"0",NA,NA,"1"
"86","AQ234","Mainstream Canada","Dixon","2.3","February","2","0.4",NA,"0.1",NA,"0.9",NA,"0",NA,NA,"2"
"87","AQ540","Mainstream Canada","Fortune","2.3","February","2","0.4",NA,"0.2",NA,"0",NA,"0",NA,NA,"2"
"88","AQ1291","Mainstream Canada","McIntyre Lake","2.3","February","2","0.1",NA,"0.1",NA,"0",NA,"0",NA,NA,"2"
"89","AQ1507","Mainstream Canada","Millar","2.3","February","2","14.4",NA,"1",NA,"20.5",NA,"0",NA,"SL treatment","2"
"90","AQ526","Mainstream Canada","Rant Pt","2.3","February","2","0.2",NA,"0.1",NA,"0.2",NA,"0.1",NA,NA,"2"
"91","AQ314","Mainstream Canada","Ross Pass","2.3","February","2","1.1",NA,"0.3",NA,"4.4",NA,"0.7",NA,NA,"1"
"92","AQ1472","Mainstream Canada","West Side","2.3","February","2","0.1",NA,"0",NA,"0",NA,"0",NA,NA,"1"
"94","AQ1738","Grieg Seafood","Atrevida","2.4","February","1","0.3",NA,"0.1",NA,"0",NA,"0",NA,NA,"1"
"95","AQ1789","Grieg Seafood","Concepcion","2.4","February","1","0",NA,"0",NA,"0",NA,"0",NA,NA,"1"
"96","AQ1863","Grieg Seafood","Esperanza","2.4","February","1","0.8",NA,"0.2",NA,"0.1",NA,"0",NA,NA,"2"
"97","AQ1849","Grieg Seafood","Muchalat N","2.4","February","1","0.1",NA,"0",NA,"0",NA,"0",NA,NA,"2"
"98","AQ1079","Grieg Seafood","Steamer Pt","2.4","February","1","0.9",NA,"0.3",NA,"0.4",NA,"0.1",NA,NA,"2"
"99","AQ1705","Grieg Seafood","Williamson","2.4","February","1","0.8",NA,"0.6",NA,"0",NA,"0",NA,NA,"2"
"100","AQ1376","Marine Harvest","Cleagh Crk","2.4","February","3","2.2",NA,"0.5",NA,"0.6",NA,"1.1",NA,NA,"1"
"101","AQ1238","Marine Harvest","Koskimo Bay","2.4","February","1","0.2",NA,"0.1",NA,"0.1",NA,"0.1",NA,NA,"2"
"102","AQ1338","Marine Harvest","Mahatta E","2.4","February","1","1.1",NA,"0.7",NA,"1.6",NA,"0",NA,NA,"2"
"103","AQ1238","Marine Harvest","Mahatta W","2.4","February","1","0.4",NA,"0.1",NA,"1.1",NA,"0.1",NA,NA,"2"
"105","AQ1698","Grieg Seafood","Ahlstrom","3.1","February","1","2",NA,"0.4",NA,"0",NA,"0",NA,NA,"1"
"106","AQ1697","Grieg Seafood","Culloden","3.1","February","1","0.3",NA,"0.1",NA,"0",NA,"0.2",NA,NA,"2"
"107","AQ746","Grieg Seafood","Farm 13","3.1","February","1","0.1",NA,"0",NA,"0",NA,"0",NA,NA,"1"
"108","AQ332","Grieg Seafood","Salten","3.1","February","1","0",NA,"0",NA,"0",NA,"0",NA,NA,"1"
"110","AQ871","Grieg Seafood","Barnes Bay","3.2","February","1","0.6",NA,"0.4",NA,"0.7",NA,"0",NA,NA,"2"
"111","AQ137","Grieg Seafood","Conville Bay","3.2","February","1","0.3",NA,"0",NA,"1.7",NA,"0",NA,NA,"1"
"112","AQ304","Mainstream Canada","Raza","3.2","February","2","0.5",NA,"0.4",NA,"0",NA,"0",NA,NA,"2"
"113","AQ377","Marine Harvest","Bickley","3.2","February","1","0.1",NA,"0",NA,"0.1",NA,"0",NA,NA,"1"
"114","AQ388","Marine Harvest","Brougham Pt","3.2","February","1","0.2",NA,"0.1",NA,"0",NA,"0",NA,NA,"1"
"115","AQ790","Marine Harvest","Chancellor ","3.2","February","1","0.4",NA,"0.1",NA,"0.1",NA,"0.7",NA,NA,"2"
"116","AQ1164","Marine Harvest","Farside","3.2","February","1","0.4",NA,"0.3",NA,"0",NA,"0",NA,NA,"2"
"117","AQ1031","Marine Harvest","Frederick Arm","3.2","February","1","0.2",NA,"0.2",NA,"0",NA,"0",NA,NA,"2"
"118","AQ1581","Marine Harvest","Hardwicke","3.2","February","1","0.3",NA,"0",NA,"0.8",NA,"0.1",NA,NA,"1"
"119","AQ100","Marine Harvest","Lees Bay","3.2","February","1","0.3",NA,"0",NA,"0.2",NA,"0.3",NA,NA,"1"
"120","AQ78","Marine Harvest","Phillips Arm","3.2","February","1","0.2",NA,"0.1",NA,"0",NA,"0",NA,NA,"2"
"121","AQ380","Marine Harvest","Sonora Pt","3.2","February","1","1.4",NA,"0.2",NA,"0.4",NA,"0.4",NA,NA,"1"
"122","AQ378","Marine Harvest","Thurlow S","3.2","February","1","0.1",NA,"0",NA,"0.1",NA,"0",NA,NA,"1"
"124","AQ1825","Grieg Seafood","Bennett Pt","3.3","February","1","0.5",NA,"0.2",NA,"0.1",NA,"0",NA,NA,"1"
"125","AQ1144","Mainstream Canada","Burdwood","3.3","February","1","0.1",NA,"0",NA,"0",NA,"0",NA,NA,"2"
"126","AQ458","Mainstream Canada","Cypress","3.3","February","1","0.4",NA,"0.1",NA,"0",NA,"0",NA,NA,"broodstock"
"127","AQ869","Mainstream Canada","Maude Island","3.3","February","1","0.2",NA,"0",NA,"0.1",NA,"0.1",NA,NA,"2"
"128","AQ728","Mainstream Canada","Sir Ed","3.3","February","1","1.5",NA,"0.9",NA,"0.1",NA,"0.1",NA,NA,"2"
"129","AQ466","Marine Harvest","Arrow ","3.3","February","1","0.4",NA,"0.1",NA,"0.4",NA,"0.3",NA,NA,"1"
"130","AQ1586","Marine Harvest","Doctor Islets","3.3","February","1","0.1",NA,"0",NA,"0",NA,"0",NA,NA,"1"
"131","AQ141","Marine Harvest","Port Elizabeth","3.3","February","1","0.4",NA,"0.1",NA,"0",NA,"0",NA,NA,"2"
"132","AQ1145","Marine Harvest","Potts Bay","3.3","February","1","0.9",NA,"0.6",NA,"0.4",NA,"0",NA,NA,"broodstock"
"133","AQ1136","Marine Harvest","Shaw Pt","3.3","February","1","0.4",NA,"0.1",NA,"0",NA,"0",NA,NA,"2"
"134","AQ465","Marine Harvest","Swanson","3.3","February","1","0",NA,"0",NA,"0",NA,"0",NA,NA,"2"
"135","AQ739","Marine Harvest","Upper Retreat","3.3","February","1","0.1",NA,"0",NA,"0.5",NA,"0.1",NA,NA,"1"
"136","AQ820","Marine Harvest","Wicklow","3.3","February","1","0.1",NA,"0",NA,"1.5",NA,"0.2",NA,NA,"1"
"138","AQ892","Marine Harvest","Bell Island","3.4","February","1","0",NA,"0",NA,"0",NA,"0",NA,NA,"1"
"139","AQ831","Marine Harvest","Shelter Pass","3.4","February","1","0",NA,"0",NA,"0",NA,"0",NA,NA,"1"
"141","AQ1702","Marine Harvest","Goat Cove","3.5","February","1","0.2",NA,"0.2",NA,"0",NA,"0",NA,NA,"2"
"142","AQ1691","Marine Harvest","Kid Bay","3.5","February","1","0.4",NA,"0.2",NA,"0.1",NA,"0",NA,NA,"2"
"143","AQ1896","Marine Harvest","Lime Point","3.5","February","1","0.2",NA,"0",NA,"0.4",NA,"0",NA,NA,"1"
"144","AQ884","Marine Harvest","Lochalsh","3.5","February","2","0.5",NA,"0.3",NA,"3.6",NA,"1",NA,NA,"1"
"145","AQ1895","Marine Harvest","Sheep Passage","3.5","February","1","0",NA,"0",NA,"0",NA,"0",NA,NA,"2"
"148","AQ1148","Mainstream Canada","Binns Island","2.3","March","2","0.5",NA,"0.4",NA,"0.3",NA,"0.7",NA,NA,"2"
"149","AQ753","Mainstream Canada","Cormorant","2.3","March","*****1","0",NA,"0",NA,"0.1",NA,"0",NA,NA,"1"
"150","AQ540","Mainstream Canada","Fortune","2.3","March","2","0",NA,"0",NA,"0",NA,"0",NA,NA,"2"
"151","AQ1291","Mainstream Canada","McIntyre Lake","2.3","March","2","0.3",NA,"0.1",NA,"0.1",NA,"0",NA,NA,"2"
"152","AQ1507","Mainstream Canada","Millar","2.3","March","2","0.2",NA,"0",NA,"3.5",NA,"0",NA,NA,"2"
"153","AQ526","Mainstream Canada","Rant Pt","2.3","March","2","0.5",NA,"0.2",NA,"0",NA,"0.1",NA,NA,"2"
"154","AQ314","Mainstream Canada","Ross Pass","2.3","March","*1","0.3",NA,"0.1",NA,"1.7",NA,"0",NA,"treatment","1"
"156","AQ1738","Grieg Seafood","Atrevida","2.4","March","2","0.4",NA,"0.2",NA,"0.1",NA,"0",NA,NA,"1"
"157","AQ1789","Grieg Seafood","Concepcion","2.4","March","2","0.1",NA,"0",NA,"0",NA,"0",NA,NA,"1"
"158","AQ1863","Grieg Seafood","Esperanza","2.4","March","2","1.4",NA,"0.6",NA,"0.1",NA,"0",NA,NA,"2"
"159","AQ1849","Grieg Seafood","Muchalat N","2.4","March","2","0.5",NA,"0.2",NA,"0",NA,"0",NA,NA,"2"
"160","AQ1079","Grieg Seafood","Steamer Pt","2.4","March","2","1.1",NA,"0.5",NA,"0",NA,"0",NA,NA,"2"
"161","AQ1705","Grieg Seafood","Williamson","2.4","March","2","0.8",NA,"0.4",NA,"0",NA,"0",NA,NA,"2"
"162","AQ1376","Marine Harvest","Cleagh Crk","2.4","March","3","0.3",NA,"0.1",NA,"0.3",NA,"0",NA,NA,"1"
"163","AQ1238","Marine Harvest","Koskimo Bay","2.4","March","***1","0.1",NA,"0.1",NA,"0.2",NA,"0",NA,"harvesting","2"
"164","AQ1338","Marine Harvest","Mahatta E","2.4","March","2","1.4",NA,"0.6",NA,"1.3",NA,"0.1",NA,NA,"2"
"165","AQ1238","Marine Harvest","Mahatta W","2.4","March","2","0.7",NA,"0.3",NA,"0.8",NA,"0.2",NA,NA,"2"
"167","AQ1698","Grieg Seafood","Ahlstrom","3.1","March","2","0.4",NA,"0.3",NA,"0.2",NA,"6",NA,NA,"2"
"168","AQ1697","Grieg Seafood","Culloden","3.1","March","2","0.3",NA,"0.1",NA,"0",NA,"0.6",NA,NA,"2"
"169","AQ746","Grieg Seafood","Farm 13","3.1","March","****1","0.1",NA,"0",NA,"0",NA,"0",NA,NA,"1"
"171","AQ137","Grieg Seafood","Conville Bay","3.2","March",NA,"under treatment",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"172","AQ304","Mainstream Canada","Raza","3.2","March","2","0.2",NA,"0.1",NA,"0",NA,"0.1",NA,NA,"2"
"173","AQ377","Marine Harvest","Bickley","3.2","March","2","0",NA,"0",NA,"0.1",NA,"0",NA,NA,"1"
"174","AQ388","Marine Harvest","Brougham Pt","3.2","March","3","0.6",NA,"0.2",NA,"0",NA,"0",NA,NA,"1"
"175","AQ790","Marine Harvest","Chancellor ","3.2","March","2","0.9",NA,"0.2",NA,"0.2",NA,"0.4",NA,NA,"2"
"176","AQ1164","Marine Harvest","Farside","3.2","March","2","0.3",NA,"0.3",NA,"0.2",NA,"0",NA,NA,"2"
"177","AQ1031","Marine Harvest","Frederick Arm","3.2","March","2","0.2",NA,"0.1",NA,"0",NA,"0",NA,NA,"2"
"178","AQ1581","Marine Harvest","Hardwicke","3.2","March","2","0.5",NA,"0.1",NA,"2.2",NA,"0.8",NA,NA,"2"
"179","AQ100","Marine Harvest","Lees Bay","3.2","March","2","0.5",NA,"0.2",NA,"0.8",NA,"0.5",NA,NA,"2"
"180","AQ78","Marine Harvest","Phillips Arm","3.2","March","2","0.3",NA,"0.1",NA,"0",NA,"0",NA,NA,"2"
"181","AQ380","Marine Harvest","Sonora Pt","3.2","March","2","2.5",NA,"0.4",NA,"2.8",NA,"1.5",NA,NA,"1"
"182","AQ378","Marine Harvest","Thurlow S","3.2","March","3","0.1",NA,"0",NA,"0.6",NA,"0.2",NA,NA,"2"
"184","AQ1825","Grieg Seafood","Bennett Pt","3.3","March","2","0.4",NA,"0.2",NA,"0.2",NA,"0.1",NA,NA,"1"
"185","AQ1144","Mainstream Canada","Burdwood","3.3","March","2","0.2",NA,"0.1",NA,"0",NA,"0",NA,NA,"2"
"186","AQ458","Mainstream Canada","Cypress","3.3","March","1","0.5",NA,"0.2",NA,"0",NA,"0",NA,NA,"broodstock"
"187","AQ869","Mainstream Canada","Maude Island","3.3","March","2","0",NA,"0",NA,"0",NA,"0",NA,NA,"2"
"188","AQ466","Marine Harvest","Arrow ","3.3","March","2","0.3",NA,"0.1",NA,"0.2",NA,"0.3",NA,NA,"1"
"189","AQ1586","Marine Harvest","Doctor Islets","3.3","March","2","0",NA,"0",NA,"0",NA,"0",NA,NA,"1"
"190","AQ141","Marine Harvest","Port Elizabeth","3.3","March","2","0.1",NA,"0",NA,"0",NA,"0",NA,NA,"2"
"191","AQ1145","Marine Harvest","Potts Bay","3.3","March","2","0",NA,"0",NA,"0",NA,"0.1",NA,NA,"broodstock"
"192","AQ1136","Marine Harvest","Shaw Pt","3.3","March","2","0.4",NA,"0.3",NA,"0.1",NA,"0",NA,NA,"2"
"193","AQ465","Marine Harvest","Swanson","3.3","March","2","0.1",NA,"0",NA,"0.3",NA,"0.1",NA,NA,"2"
"194","AQ739","Marine Harvest","Upper Retreat","3.3","March","2","0.1",NA,"0",NA,"0.6",NA,"0.5",NA,NA,"1"
"195","AQ820","Marine Harvest","Wicklow","3.3","March","2","0.2",NA,"0.1",NA,"2",NA,"0.7",NA,NA,"1"
"197","AQ1335","Mainstream Canada","Wehlis","3.4","March","*1","0.1",NA,"0",NA,"0.2",NA,"0.1",NA,"treatment","1"
"198","AQ1351","Marine Harvest","Marsh","3.4","March","2","1.1",NA,"0.2",NA,"0.6",NA,"0.5",NA,NA,"1"
"199","AQ1350","Marine Harvest","Shelter Bay","3.4","March","2","0",NA,"0",NA,"0",NA,"0.1",NA,NA,"2"
"200","AQ831","Marine Harvest","Shelter Pass","3.4","March","2","0.1",NA,"0",NA,"0",NA,"0",NA,NA,"1"
"202","AQ1702","Marine Harvest","Goat Cove","3.5","March","2","0.2",NA,"0.1",NA,"0.1",NA,"0",NA,NA,"2"
"203","AQ1580","Marine Harvest","Jackson Pass","3.5","March","2","0.1",NA,"0.1",NA,"0.3",NA,"0.3",NA,NA,"1"
"204","AQ1691","Marine Harvest","Kid Bay","3.5","March","2","0.4",NA,"0.2",NA,"0.3",NA,"0",NA,NA,"2"
"205","AQ1896","Marine Harvest","Lime Point","3.5","March","**2","0.1",NA,"0",NA,"0.2",NA,"0",NA,NA,"1"
"206","AQ884","Marine Harvest","Lochalsh","3.5","March","2","0.5",NA,"0.2",NA,"1.7",NA,"0.7",NA,NA,"1"
"207","AQ1895","Marine Harvest","Sheep Passage","3.5","March","2","0.1",NA,"0.1",NA,"0.5",NA,"0",NA,NA,"2"
"232","AQ227","Mainstream Canada","Bawden","2.3","April","******1","0",NA,"0",NA,"0.1",NA,"0",NA,NA,"1"
"241","AQ520","Mainstream Canada","Bedwell","2.3","April","******1","0.1",NA,"0",NA,"0.2",NA,"0",NA,NA,"1"
"253","AQ1148","Mainstream Canada","Binns Island","2.3","April","2","0.8",NA,"0.6",NA,"0.4",NA,"2.1",NA,NA,"2"
"261","AQ540","Mainstream Canada","Fortune","2.3","April","2","0",NA,"0",NA,"0",NA,"0",NA,NA,"2"
"27","AQ1291","Mainstream Canada","McIntyre Lake","2.3","April","2","0.7",NA,"0.2",NA,"0.2",NA,"0.1",NA,NA,"2"
"281","AQ1507","Mainstream Canada","Millar","2.3","April","2","0",NA,"0",NA,"0.1",NA,"0",NA,NA,"2"
"291","AQ543","Mainstream Canada","Mussel Rock","2.3","April","2","0.1","0.2","0","0.1","0.1","0.1","0","0.2","2011-04-19 statistical agreement with farm count that day NA NA","1"
"321","AQ526","Mainstream Canada","Rant Pt","2.3","April","2","1.3",NA,"0.4",NA,"0.1",NA,"0",NA,NA,"2"
"331","AQ314","Mainstream Canada","Ross Pass","2.3","April","2","0.1",NA,"0",NA,"0.2",NA,"0.1",NA,NA,"1"
"341","AQ1472","Mainstream Canada","West Side","2.3","April","2","0.3",NA,"0",NA,"0.1",NA,"0",NA,NA,"1"
"361","AQ1738","Grieg Seafood","Atrevida","2.4","April","2","0.3",NA,"0.1",NA,"0.1",NA,"0",NA,NA,"1"
"371","AQ1789","Grieg Seafood","Concepcion","2.4","April","2","0.1",NA,"0",NA,"0",NA,"0",NA,NA,"1"
"38","AQ1863","Grieg Seafood","Esperanza","2.4","April","2","0.5",NA,"0.2",NA,"0",NA,"0",NA,NA,"2"
"391","AQ1849","Grieg Seafood","Muchalat N","2.4","April","2","0.6",NA,"0.3",NA,"0",NA,"0.1",NA,NA,"2"
"401","AQ1079","Grieg Seafood","Steamer Pt","2.4","April","2","0.3",NA,"0.1",NA,"0",NA,"0",NA,NA,"2"
"411","AQ1705","Grieg Seafood","Williamson","2.4","April","2","0.3",NA,"0.1",NA,"0",NA,"0",NA,NA,"2"
"421","AQ1376","Marine Harvest","Cleagh Crk","2.4","April","2","0",NA,"0",NA,"0.1",NA,"0",NA,NA,"1"
"431","AQ1338","Marine Harvest","Mahatta E","2.4","April","2","1.9",NA,"0.9",NA,"1.6",NA,"0.1",NA,NA,"2"
"44","AQ1238","Marine Harvest","Mahatta W","2.4","April","2","0.9",NA,"0.4",NA,"0.5",NA,"0",NA,NA,"2"
"461","AQ1698","Grieg Seafood","Ahlstrom","3.1","April","2","0.3",NA,"0.1",NA,"0.2",NA,"1.1",NA,NA,"2"
"471","AQ1697","Grieg Seafood","Culloden","3.1","April","2","0.3","0.4","0.1","0.2","0.1","0.1","0.2","0.2","2011-04-15 statistical agreement with farm count that day NA NA","2"
"501","AQ746","Grieg Seafood","Farm 13","3.1","April","****1","0",NA,"0",NA,"0",NA,"0",NA,NA,"1"
"521","AQ137","Grieg Seafood","Conville Bay","3.2","April","2","0","0","0","0","0.3","0.6","0","0.1","2011-04-28 statistical agreement with farm count that day NA NA","1"
"551","AQ304","Mainstream Canada","Raza","3.2","April","2","0.1",NA,"0.1",NA,"0",NA,"0",NA,NA,"2"
"561","AQ377","Marine Harvest","Bickley","3.2","April","2","0.1",NA,"0",NA,"0.6",NA,"0",NA,NA,"1"
"57","AQ388","Marine Harvest","Brougham Pt","3.2","April","2","0.2",NA,"0",NA,"0.3",NA,"0",NA,NA,"1"
"581","AQ790","Marine Harvest","Chancellor ","3.2","April","2","0.6",NA,"0.4",NA,"0.3",NA,"0.2",NA,NA,"2"
"591","AQ1164","Marine Harvest","Farside","3.2","April","2","0.1",NA,"0.1",NA,"0.2",NA,"0",NA,NA,"2"
"601","AQ1031","Marine Harvest","Frederick Arm","3.2","April","2","0.1",NA,"0",NA,"0.1",NA,"0",NA,NA,"2"
"611","AQ1581","Marine Harvest","Hardwicke","3.2","April","2","0.5",NA,"0.1",NA,"1.1",NA,"0.7",NA,NA,"2"
"621","AQ100","Marine Harvest","Lees Bay","3.2","April","2","0.9",NA,"0.4",NA,"0.7",NA,"0.6",NA,NA,"2"
"631","AQ78","Marine Harvest","Phillips Arm","3.2","April","2","0.4",NA,"0.2",NA,"0",NA,"0",NA,NA,"2"
"641","AQ380","Marine Harvest","Sonora Pt","3.2","April","2","2.4",NA,"0.9",NA,"3.3",NA,"1.1",NA,NA,"1"
"651","AQ378","Marine Harvest","Thurlow S","3.2","April","2","0.2",NA,"0.1",NA,"2.5",NA,"0.9",NA,NA,"2"
"671","AQ1825","Grieg Seafood","Bennett Pt","3.3","April","2","0.2",NA,"0.1",NA,"0",NA,"0.4",NA,NA,"1"
"681","AQ1144","Mainstream Canada","Burdwood","3.3","April","2","0.1",NA,"0.1",NA,"0.2",NA,"0",NA,NA,"2"
"69","AQ458","Mainstream Canada","Cypress","3.3","April","1","0.8",NA,"0.5",NA,"0",NA,"0",NA,NA,"broodstock"
"701","AQ869","Mainstream Canada","Maude Island","3.3","April","2","0",NA,"0",NA,"0",NA,"0",NA,NA,"2"
