year,farm_name,lep_av,cal_av,ref,month
2016,Ahlstrom,NA,NA,1698,6
2016,Ahlstrom,NA,NA,1698,7
2016,Ahlstrom,0.02,0,1698,8
2016,Ahlstrom,0.17,0,1698,9
2016,Ahlstrom,0,0,1698,10
2016,Ahlstrom,NA,NA,1698,11
2016,Ahlstrom,NA,NA,1698,12
2017,Ahlstrom,NA,NA,1698,3
2017,Ahlstrom,0,0.28,1698,4
2017,Ahlstrom,0,0.24,1698,4
2017,Ahlstrom,0.08,0.15,1698,5
2017,Ahlstrom,0.02,0.07,1698,5
2017,Ahlstrom,0,0,1698,6
2017,Ahlstrom,0.02,0.09,1698,6
2017,Ahlstrom,0,0,1698,7
2017,Ahlstrom,0.02,0,1698,8
2017,Ahlstrom,0.08,0,1698,9
2017,Ahlstrom,0.27,0.03,1698,10
2017,Ahlstrom,0.43,0.36,1698,11
2017,Ahlstrom,0.33,0.12,1698,12
2018,Ahlstrom,0.73,0.27,1698,1
2018,Ahlstrom,0.22,0.02,1698,2
2018,Ahlstrom,0.13,0,1698,3
2018,Ahlstrom,0.06,0,1698,3
2018,Ahlstrom,0.22,0,1698,4
2018,Ahlstrom,0.02,0,1698,4
2018,Ahlstrom,0,0.03,1698,5
2018,Ahlstrom,0.03,0.17,1698,5
2018,Ahlstrom,0.03,0,1698,6
2018,Ahlstrom,NA,NA,1698,6
2018,Ahlstrom,0.03,0,1698,7
2018,Ahlstrom,NA,NA,1698,8
2018,Ahlstrom,0.11,0,1698,9
2018,Ahlstrom,NA,NA,1698,10
2018,Ahlstrom,NA,NA,1698,11
2018,Ahlstrom,NA,NA,1698,12
2019,Ahlstrom,NA,NA,1698,4
2019,Ahlstrom,0,0.14,1698,5
2019,Ahlstrom,0.58,0.02,1698,6
2019,Ahlstrom,0.46,0.36,1698,6
2019,Ahlstrom,0.08,0,1698,7
2019,Ahlstrom,0,0,1698,7
2019,Ahlstrom,0.17,0,1698,9
2019,Ahlstrom,0.3,0,1698,10
2019,Ahlstrom,0.3,0.02,1698,11
2019,Ahlstrom,1.5,0.92,1698,12
2020,Ahlstrom,3.54,2.79,1698,1
2020,Ahlstrom,0.93,0.05,1698,2
2020,Ahlstrom,0.57,0.03,1698,3
2020,Ahlstrom,0.13,0.02,1698,3
2020,Ahlstrom,0.1,0,1698,3
2020,Ahlstrom,0.15,0.07,1698,3
2020,Ahlstrom,0.05,0,1698,4
2020,Ahlstrom,0.12,0.02,1698,4
2020,Ahlstrom,0.1,0.03,1698,4
2020,Ahlstrom,0.82,0.02,1698,4
2020,Ahlstrom,0.18,0,1698,5
2020,Ahlstrom,0.2,0.83,1698,5
2020,Ahlstrom,0.9,0,1698,5
2020,Ahlstrom,0.75,0,1698,5
2020,Ahlstrom,0.88,0.57,1698,6
2020,Ahlstrom,1.15,0.03,1698,6
2020,Ahlstrom,0.98,0,1698,6
2020,Ahlstrom,1.08,0,1698,6
2020,Ahlstrom,0.73,0,1698,7
2020,Ahlstrom,0.77,0.07,1698,7
2020,Ahlstrom,0.4,0.07,1698,8
2020,Ahlstrom,0.55,0.02,1698,8
2020,Ahlstrom,NA,NA,1698,9
2020,Ahlstrom,NA,NA,1698,10
2021,Ahlstrom,NA,NA,1698,5
2021,Ahlstrom,NA,NA,1698,6
2021,Ahlstrom,0.02,0.05,1698,7
2021,Ahlstrom,0,0,1698,7
2021,Ahlstrom,0.02,0,1698,8
2021,Ahlstrom,0,0,1698,8
2021,Ahlstrom,0.02,0,1698,9
2021,Ahlstrom,1.4,0.03,1698,9
2021,Ahlstrom,0.78,0.02,1698,10
2021,Ahlstrom,0.96,0,1698,10
2021,Ahlstrom,0.06,0.07,1698,11
2021,Ahlstrom,0.03,0,1698,11
2021,Ahlstrom,0,0,1698,12
2021,Ahlstrom,0.08,0,1698,12
2016,Alexander,NA,NA,7714,10
2016,Alexander,0.25,1.28,7714,11
2016,Alexander,1,2.63,7714,12
2016,Alexander,0.33,2.07,7714,12
2017,Alexander,0.28,1.12,7714,1
2017,Alexander,0.24,1.18,7714,1
2017,Alexander,0.22,1.2,7714,1
2017,Alexander,0.4,3.23,7714,2
2017,Alexander,0.08,2.25,7714,2
2017,Alexander,0.05,3.9,7714,2
2017,Alexander,0.27,2.2,7714,2
2017,Alexander,0.11,2.78,7714,3
2017,Alexander,0.06,0.28,7714,3
2017,Alexander,0.01,0.16,7714,3
2017,Alexander,0.03,0.18,7714,3
2017,Alexander,0,0.38,7714,4
2017,Alexander,0.03,0.28,7714,4
2017,Alexander,0,1.03,7714,4
2017,Alexander,0.13,0.25,7714,4
2017,Alexander,0.28,2.45,7714,5
2017,Alexander,0.25,2.75,7714,5
2017,Alexander,0.42,2.88,7714,5
2017,Alexander,0.33,2.75,7714,5
2017,Alexander,0.3,3.9,7714,6
2017,Alexander,0.13,4.15,7714,6
2017,Alexander,0.15,6.95,7714,6
2017,Alexander,0.23,3.5,7714,6
2017,Alexander,0.17,3.81,7714,7
2017,Alexander,0,0.26,7714,7
2017,Alexander,0,0.83,7714,7
2017,Alexander,0,0.48,7714,7
2017,Alexander,0,0.57,7714,7
2017,Alexander,0.25,1.3,7714,8
2017,Alexander,0.67,4.49,7714,8
2017,Alexander,1.2,5,7714,8
2017,Alexander,1.33,2.5,7714,9
2017,Alexander,1.63,3.1,7714,9
2017,Alexander,1.45,2.05,7714,9
2017,Alexander,1.65,0.7,7714,9
2017,Alexander,2.45,0.45,7714,10
2017,Alexander,1.58,1.12,7714,10
2017,Alexander,3.18,3.6,7714,10
2017,Alexander,3.88,0.05,7714,10
2017,Alexander,3.48,2.37,7714,10
2017,Alexander,0.39,0.04,7714,11
2017,Alexander,0.23,0.15,7714,11
2017,Alexander,0.33,0,7714,11
2017,Alexander,0.26,0.04,7714,12
2017,Alexander,0.92,0.2,7714,12
2017,Alexander,0.6,0.58,7714,12
2017,Alexander,1.15,0.42,7714,12
2018,Alexander,1,0.1,7714,1
2018,Alexander,0.93,0.13,7714,1
2018,Alexander,0.63,0.28,7714,1
2018,Alexander,1.08,0.4,7714,1
2018,Alexander,1.23,0.4,7714,1
2018,Alexander,1.83,0.13,7714,2
2018,Alexander,1.25,0.13,7714,2
2018,Alexander,1.15,0.09,7714,2
2018,Alexander,1.8,0,7714,2
2018,Alexander,2.4,0.17,7714,3
2018,Alexander,0.15,0,7714,3
2018,Alexander,0.98,0.07,7714,3
2018,Alexander,0.2,0.02,7714,3
2018,Alexander,0.13,0,7714,3
2018,Alexander,0.12,0,7714,3
2018,Alexander,0.13,0.07,7714,4
2018,Alexander,0.23,0.15,7714,4
2018,Alexander,0.15,0.05,7714,4
2018,Alexander,0.32,0.07,7714,4
2018,Alexander,0.63,0.02,7714,5
2018,Alexander,0.77,0.12,7714,5
2018,Alexander,NA,NA,7714,6
2018,Alexander,NA,NA,7714,7
2018,Alexander,NA,NA,7714,10
2018,Alexander,0,0,7714,11
2018,Alexander,0.02,1.92,7714,11
2018,Alexander,0.07,2.93,7714,12
2018,Alexander,0.17,2.47,7714,12
2018,Alexander,0.07,4.23,7714,12
2019,Alexander,0.05,5.55,7714,1
2019,Alexander,0.1,5.02,7714,1
2019,Alexander,0.06,0.89,7714,1
2019,Alexander,0.1,1.05,7714,2
2019,Alexander,0.15,1.17,7714,2
2019,Alexander,0.09,1.85,7714,2
2019,Alexander,0,0,7714,2
2019,Alexander,0,0.1,7714,3
2019,Alexander,0,0.02,7714,3
2019,Alexander,0,0.05,7714,3
2019,Alexander,0.03,0.58,7714,4
2019,Alexander,0.03,0.47,7714,4
2019,Alexander,0.07,1.13,7714,4
2019,Alexander,0.02,0.75,7714,5
2019,Alexander,0.07,1.9,7714,5
2019,Alexander,0.05,2.28,7714,5
2019,Alexander,0.07,2.25,7714,6
2019,Alexander,0.18,3.27,7714,6
2019,Alexander,0.15,1.03,7714,6
2019,Alexander,0.2,1.26,7714,6
2019,Alexander,0,0.19,7714,7
2019,Alexander,0.05,1.3,7714,7
2019,Alexander,0.22,1.92,7714,8
2019,Alexander,2.75,3.63,7714,8
2019,Alexander,3.15,0.22,7714,8
2019,Alexander,3.03,2.15,7714,8
2019,Alexander,4.03,0.95,7714,9
2019,Alexander,7.3,0.62,7714,9
2019,Alexander,7.95,1.07,7714,9
2019,Alexander,2.15,0.12,7714,9
2019,Alexander,10.28,0.58,7714,9
2019,Alexander,1.74,0,7714,9
2019,Alexander,11.52,0.2,7714,9
2019,Alexander,4.73,0.67,7714,10
2019,Alexander,4.62,0.58,7714,10
2019,Alexander,5.67,0.13,7714,10
2019,Alexander,5.98,0.32,7714,10
2019,Alexander,5.33,0.07,7714,11
2019,Alexander,5.88,0,7714,11
2019,Alexander,1.93,0,7714,11
2019,Alexander,0.7,0.03,7714,12
2019,Alexander,1.15,0,7714,12
2019,Alexander,1.12,0.03,7714,12
2019,Alexander,0.62,0,7714,12
2020,Alexander,0.95,0,7714,1
2020,Alexander,1.07,0.02,7714,1
2020,Alexander,0.72,0.03,7714,1
2020,Alexander,0.6,0,7714,1
2020,Alexander,0.68,0,7714,2
2020,Alexander,0.58,0,7714,2
2020,Alexander,0.5,0.07,7714,2
2020,Alexander,1.03,0.03,7714,2
2020,Alexander,0.72,0.08,7714,3
2020,Alexander,0.87,0.05,7714,3
2020,Alexander,0.4,0.02,7714,3
2020,Alexander,0.72,0.02,7714,3
2020,Alexander,0.08,0.03,7714,3
2020,Alexander,0.93,0.2,7714,4
2020,Alexander,0.98,0.1,7714,4
2020,Alexander,1.3,0.17,7714,4
2020,Alexander,1.28,0,7714,4
2020,Alexander,1.69,0.23,7714,5
2020,Alexander,1.33,0.51,7714,5
2020,Alexander,1.55,0.43,7714,5
2020,Alexander,3.08,0.47,7714,5
2020,Alexander,3.92,0.48,7714,6
2020,Alexander,NA,NA,7714,6
2020,Alexander,NA,NA,7714,7
2020,Alexander,NA,NA,7714,8
2021,Alexander,NA,NA,7714,11
2021,Alexander,0,0,7714,12
2021,Alexander,0,0,7714,12
2011,Althorpe,0.05,0.23,1300,7
2011,Althorpe,0.6,5.77,1300,8
2011,Althorpe,1.35,2.6,1300,9
2011,Althorpe,1.65,9.53,1300,9
2011,Althorpe,1.5,7.2,1300,10
2011,Althorpe,1.33,4.23,1300,10
2011,Althorpe,0.63,0.02,1300,10
2011,Althorpe,0.2,0,1300,11
2011,Althorpe,0.05,0.03,1300,12
2012,Althorpe,0.13,0.1,1300,1
2012,Althorpe,0.02,0.13,1300,2
2012,Althorpe,0.02,0.53,1300,3
2012,Althorpe,0.15,0.45,1300,3
2012,Althorpe,0.17,0.77,1300,4
2012,Althorpe,0.22,1.27,1300,4
2012,Althorpe,0.57,0.4,1300,4
2012,Althorpe,0.17,0.12,1300,5
2012,Althorpe,NA,NA,1300,5
2012,Althorpe,NA,NA,1300,6
2012,Althorpe,0,0.07,1300,7
2012,Althorpe,NA,NA,1300,8
2012,Althorpe,2.8,0.75,1300,9
2012,Althorpe,2.67,2.03,1300,10
2012,Althorpe,2.62,2.12,1300,10
2012,Althorpe,5.2,0.57,1300,11
2012,Althorpe,8.05,0.37,1300,11
2012,Althorpe,NA,NA,1300,12
2014,Althorpe,NA,NA,1300,12
2015,Althorpe,0.07,0.25,1300,1
2015,Althorpe,0.08,0.82,1300,2
2015,Althorpe,0.82,1.38,1300,3
2015,Althorpe,1.22,6.5,1300,3
2015,Althorpe,2.13,2.9,1300,4
2015,Althorpe,0.95,0.3,1300,4
2015,Althorpe,0.85,0.03,1300,5
2015,Althorpe,0.02,0,1300,5
2015,Althorpe,0.23,0.08,1300,6
2015,Althorpe,0.25,0.23,1300,6
2015,Althorpe,0.12,0.27,1300,7
2015,Althorpe,0.27,0.17,1300,8
2015,Althorpe,0.83,0.27,1300,9
2015,Althorpe,0.95,0.23,1300,10
2015,Althorpe,2.22,1.88,1300,11
2015,Althorpe,2.22,0.03,1300,12
2016,Althorpe,0.9,0.13,1300,1
2016,Althorpe,0.92,0.02,1300,2
2016,Althorpe,NA,NA,1300,3
2016,Althorpe,NA,NA,1300,4
2016,Althorpe,NA,NA,1300,11
2016,Althorpe,0.05,0,1300,12
2016,Althorpe,2.53,1.57,1300,12
2017,Althorpe,2.17,4.28,1300,1
2017,Althorpe,0.8,0.35,1300,2
2017,Althorpe,0.1,0.03,1300,2
2017,Althorpe,0.04,0.03,1300,3
2017,Althorpe,0.05,0,1300,3
2017,Althorpe,0.33,0.2,1300,4
2017,Althorpe,0.07,0.02,1300,4
2017,Althorpe,0,0,1300,4
2017,Althorpe,0.13,0.45,1300,4
2017,Althorpe,0.05,0.4,1300,5
2017,Althorpe,0.22,0.37,1300,5
2017,Althorpe,0.08,0.25,1300,5
2017,Althorpe,0.1,0.33,1300,5
2017,Althorpe,0,0.15,1300,5
2017,Althorpe,0.1,0.7,1300,6
2017,Althorpe,0.1,0.25,1300,6
2017,Althorpe,0.18,0.42,1300,6
2017,Althorpe,0.25,1.73,1300,6
2017,Althorpe,0.67,0.33,1300,7
2017,Althorpe,0.45,1.93,1300,7
2017,Althorpe,0.72,1.47,1300,8
2017,Althorpe,1.65,2.08,1300,8
2017,Althorpe,2.93,0.9,1300,10
2017,Althorpe,3.28,2.08,1300,10
2017,Althorpe,0.35,0,1300,11
2017,Althorpe,0.27,0,1300,12
2018,Althorpe,0.77,0,1300,1
2018,Althorpe,0.67,0.77,1300,1
2018,Althorpe,NA,NA,1300,2
2018,Althorpe,NA,NA,1300,3
2018,Althorpe,0.22,0.78,1300,12
2019,Althorpe,0.13,1.73,1300,1
2019,Althorpe,0.13,1.28,1300,1
2019,Althorpe,0.4,4.52,1300,1
2019,Althorpe,0.05,3.52,1300,1
2019,Althorpe,0.22,3.63,1300,2
2019,Althorpe,0.75,3.51,1300,2
2019,Althorpe,0.28,2.96,1300,2
2019,Althorpe,1.6,4.1,1300,2
2019,Althorpe,0.35,0.15,1300,3
2019,Althorpe,0.75,1.62,1300,3
2019,Althorpe,1.43,1.58,1300,3
2019,Althorpe,0.73,1.68,1300,3
2019,Althorpe,1.68,0.9,1300,3
2019,Althorpe,0.43,0.03,1300,4
2019,Althorpe,0.05,0,1300,4
2019,Althorpe,0.1,0,1300,4
2019,Althorpe,0.13,0,1300,4
2019,Althorpe,0.03,0,1300,5
2019,Althorpe,0.08,0,1300,5
2019,Althorpe,0.03,0.03,1300,5
2019,Althorpe,0.15,0.85,1300,5
2019,Althorpe,0.12,0.02,1300,5
2019,Althorpe,0.1,1.15,1300,5
2019,Althorpe,0,0,1300,6
2019,Althorpe,0.12,0.13,1300,6
2019,Althorpe,0.08,0.08,1300,6
2019,Althorpe,0.05,0.73,1300,6
2019,Althorpe,0.05,0.42,1300,6
2019,Althorpe,0.15,0.78,1300,7
2019,Althorpe,0.23,0.9,1300,7
2019,Althorpe,0.88,4.55,1300,7
2019,Althorpe,0.63,1.35,1300,7
2019,Althorpe,1.45,0.58,1300,7
2019,Althorpe,0.87,0.98,1300,8
2019,Althorpe,0.67,0.47,1300,8
2019,Althorpe,0.95,1,1300,8
2019,Althorpe,1.17,1.3,1300,8
2019,Althorpe,2.88,0.85,1300,9
2019,Althorpe,4.22,1.03,1300,9
2019,Althorpe,4.88,0.95,1300,9
2019,Althorpe,3.17,0.87,1300,10
2019,Althorpe,3.13,0.23,1300,10
2019,Althorpe,3.85,0.1,1300,10
2019,Althorpe,1.33,0.78,1300,10
2019,Althorpe,2.53,0,1300,11
2019,Althorpe,1.68,0,1300,11
2019,Althorpe,1.88,0,1300,11
2019,Althorpe,1.47,0,1300,11
2019,Althorpe,1.7,0,1300,12
2019,Althorpe,2.23,0,1300,12
2019,Althorpe,1.98,0,1300,12
2019,Althorpe,1.57,0,1300,12
2019,Althorpe,3.43,0.08,1300,12
2020,Althorpe,1.43,0,1300,1
2020,Althorpe,1.88,0.33,1300,1
2020,Althorpe,1.9,0,1300,1
2020,Althorpe,1.97,0.5,1300,2
2020,Althorpe,1.88,2.3,1300,2
2020,Althorpe,NA,NA,1300,3
2020,Althorpe,NA,NA,1300,4
2020,Althorpe,NA,NA,1300,11
2020,Althorpe,0.55,2,1300,12
2020,Althorpe,0.78,1.58,1300,12
2020,Althorpe,0.52,4.33,1300,12
2020,Althorpe,0.37,3.88,1300,12
2021,Althorpe,0.77,4.25,1300,1
2021,Althorpe,1.15,3.72,1300,1
2021,Althorpe,1.15,5.43,1300,1
2021,Althorpe,2.04,8.99,1300,1
2021,Althorpe,2.11,9.68,1300,1
2021,Althorpe,0.2,1.27,1300,2
2021,Althorpe,0.23,0.82,1300,2
2021,Althorpe,0.1,0.65,1300,3
2021,Althorpe,0.12,0.09,1300,3
2021,Althorpe,0.1,0.42,1300,3
2021,Althorpe,0.08,0.1,1300,3
2021,Althorpe,0.1,0.32,1300,3
2021,Althorpe,0.05,0,1300,4
2021,Althorpe,0.17,0.32,1300,4
2021,Althorpe,0.1,0.08,1300,4
2021,Althorpe,0.15,0.13,1300,4
2021,Althorpe,0.35,0.33,1300,5
2021,Althorpe,0.72,0.57,1300,5
2021,Althorpe,0.62,0.43,1300,5
2021,Althorpe,0.44,0.86,1300,5
2021,Althorpe,0.06,0.02,1300,6
2021,Althorpe,0.03,0.08,1300,6
2021,Althorpe,0.03,0.17,1300,6
2021,Althorpe,0.08,0.63,1300,6
2021,Althorpe,0.22,0.93,1300,7
2021,Althorpe,0.63,6.38,1300,7
2021,Althorpe,0.4,7.03,1300,7
2021,Althorpe,0.83,6.85,1300,7
2021,Althorpe,1.62,3.92,1300,8
2021,Althorpe,2.13,7.02,1300,8
2021,Althorpe,3.65,3.12,1300,9
2021,Althorpe,5.57,20.16,1300,9
2021,Althorpe,0.56,0.75,1300,9
2021,Althorpe,0.22,0.37,1300,10
2021,Althorpe,0.18,0.5,1300,10
2021,Althorpe,0.08,0.62,1300,10
2021,Althorpe,0.88,3.25,1300,11
2021,Althorpe,1.68,1.8,1300,11
2021,Althorpe,1.95,3.18,1300,11
2021,Althorpe,2.35,4.65,1300,11
2021,Althorpe,2.98,4.53,1300,11
2021,Althorpe,3.52,2.97,1300,12
2021,Althorpe,3.83,3.53,1300,12
2011,Arrow Pass,0,0.05,466,1
2011,Arrow Pass,0.08,0.27,466,2
2011,Arrow Pass,0.15,0.47,466,3
2011,Arrow Pass,0.05,0.07,466,3
2011,Arrow Pass,0.03,0.12,466,4
2011,Arrow Pass,0.22,0.68,466,4
2011,Arrow Pass,0,0.05,466,5
2011,Arrow Pass,0.07,0.17,466,5
2011,Arrow Pass,0.03,0.15,466,6
2011,Arrow Pass,0.13,0,466,6
2011,Arrow Pass,NA,NA,466,7
2011,Arrow Pass,NA,NA,466,8
2011,Atrevida,0.02,0,1738,1
2011,Atrevida,0.07,0,1738,2
2011,Atrevida,0.07,0,1738,3
2011,Atrevida,0.23,0,1738,3
2011,Atrevida,0,0,1738,4
2011,Atrevida,0.15,0.01,1738,4
2011,Atrevida,0.03,0,1738,5
2011,Atrevida,0.08,0,1738,5
2011,Atrevida,0.1,0,1738,6
2011,Atrevida,0.23,0.02,1738,6
2011,Atrevida,0.12,0,1738,7
2011,Atrevida,0.22,0,1738,8
2011,Atrevida,0.32,0,1738,9
2011,Atrevida,0.75,0,1738,10
2011,Atrevida,0.53,0.02,1738,11
2011,Atrevida,1.18,0,1738,12
2012,Atrevida,0.43,0,1738,1
2012,Atrevida,0.45,0,1738,1
2012,Atrevida,0.1,0,1738,2
2012,Atrevida,0.25,0.02,1738,2
2012,Atrevida,0.1,0,1738,3
2012,Atrevida,0.05,0,1738,3
2012,Atrevida,0.27,0,1738,4
2012,Atrevida,0.28,0,1738,4
2012,Atrevida,0.33,0,1738,5
2012,Atrevida,0.23,0,1738,5
2012,Atrevida,NA,NA,1738,6
2012,Atrevida,0.17,0,1738,7
2012,Atrevida,NA,NA,1738,8
2012,Atrevida,NA,NA,1738,9
2012,Atrevida,NA,NA,1738,10
2015,Atrevida,0,0,1738,2
2015,Atrevida,0,0,1738,3
2015,Atrevida,0,0.03,1738,3
2015,Atrevida,0.02,0.05,1738,4
2015,Atrevida,0,0,1738,4
2015,Atrevida,0.07,0.02,1738,5
2015,Atrevida,0.08,0,1738,5
2015,Atrevida,1.03,0,1738,6
2015,Atrevida,1.98,0.02,1738,7
2015,Atrevida,1.73,0,1738,7
2015,Atrevida,1.5,0,1738,8
2015,Atrevida,2.28,0,1738,9
2015,Atrevida,2.87,0,1738,9
2015,Atrevida,2.65,0,1738,10
2015,Atrevida,2.6,0,1738,10
2015,Atrevida,1.97,0,1738,11
2015,Atrevida,0.78,0,1738,12
2016,Atrevida,0.85,0,1738,1
2016,Atrevida,1.3,0.05,1738,2
2016,Atrevida,1.64,0,1738,3
2016,Atrevida,1.13,0,1738,3
2016,Atrevida,2.2,0,1738,4
2016,Atrevida,NA,NA,1738,4
2016,Atrevida,2.25,0,1738,5
2016,Atrevida,NA,NA,1738,5
2016,Atrevida,NA,NA,1738,6
2016,Atrevida,NA,NA,1738,7
2016,Atrevida,NA,NA,1738,9
2016,Atrevida,0.03,0,1738,10
2016,Atrevida,0.02,0,1738,11
2016,Atrevida,0.02,0,1738,12
2017,Atrevida,0.02,0,1738,1
2017,Atrevida,0.1,0.02,1738,2
2017,Atrevida,0.05,0,1738,3
2017,Atrevida,0.02,0,1738,3
2017,Atrevida,0.12,0,1738,4
2017,Atrevida,0.02,0,1738,4
2017,Atrevida,0,0,1738,5
2017,Atrevida,0.03,0,1738,5
2017,Atrevida,0.07,0,1738,6
2017,Atrevida,0,0,1738,6
2017,Atrevida,0,0,1738,7
2017,Atrevida,0.07,0,1738,8
2017,Atrevida,1.67,0.02,1738,9
2017,Atrevida,1.72,0,1738,9
2017,Atrevida,5.42,0.1,1738,10
2017,Atrevida,10.4,0,1738,10
2017,Atrevida,1.64,0,1738,11
2017,Atrevida,1.27,0,1738,11
2017,Atrevida,0.63,0,1738,12
2018,Atrevida,2.2,0,1738,1
2018,Atrevida,2.12,0,1738,2
2018,Atrevida,5.28,0.02,1738,3
2018,Atrevida,6.08,0,1738,3
2018,Atrevida,NA,NA,1738,4
2018,Atrevida,NA,NA,1738,5
2019,Atrevida,0.12,0,1738,5
2019,Atrevida,NA,NA,1738,5
2019,Atrevida,0.47,0,1738,6
2019,Atrevida,0.8,0,1738,6
2019,Atrevida,1.1,0,1738,7
2019,Atrevida,NA,NA,1738,8
2019,Atrevida,3.86,0,1738,9
2019,Atrevida,5.68,0,1738,9
2019,Atrevida,7.21,0,1738,10
2019,Atrevida,6.48,0,1738,10
2019,Atrevida,7.45,0,1738,11
2019,Atrevida,6.36,0,1738,12
2019,Atrevida,3.27,0,1738,12
2020,Atrevida,4.12,0,1738,1
2020,Atrevida,3.62,0,1738,1
2020,Atrevida,0.5,0,1738,1
2020,Atrevida,0.45,0,1738,2
2020,Atrevida,0.68,0,1738,2
2020,Atrevida,2.34,0.07,1738,3
2020,Atrevida,4.37,0,1738,3
2020,Atrevida,2.8,0,1738,3
2020,Atrevida,5.37,0.03,1738,3
2020,Atrevida,0.52,0.01,1738,4
2020,Atrevida,0.65,0,1738,4
2020,Atrevida,0.67,0,1738,4
2020,Atrevida,1.07,0.25,1738,5
2020,Atrevida,1.27,0.02,1738,5
2020,Atrevida,1.27,0,1738,5
2020,Atrevida,1.48,0,1738,5
2020,Atrevida,6.53,0,1738,5
2020,Atrevida,1.5,0,1738,6
2020,Atrevida,0.45,0.1,1738,7
2020,Atrevida,NA,NA,1738,8
2020,Atrevida,NA,NA,1738,10
2020,Atrevida,NA,NA,1738,11
2020,Atrevida,0,0,1738,12
2021,Atrevida,0,0,1738,1
2021,Atrevida,0.02,0.67,1738,2
2021,Atrevida,0.03,4.42,1738,2
2021,Atrevida,0,3.75,1738,3
2021,Atrevida,0,6.63,1738,3
2021,Atrevida,0,2.92,1738,3
2021,Atrevida,0.03,2.58,1738,3
2021,Atrevida,0.17,4.08,1738,3
2021,Atrevida,0,2.23,1738,4
2021,Atrevida,0.05,1.2,1738,4
2021,Atrevida,0.05,2.63,1738,4
2021,Atrevida,0.02,0.33,1738,4
2021,Atrevida,0.02,0.03,1738,5
2021,Atrevida,0.02,0.02,1738,5
2021,Atrevida,0.02,0.03,1738,5
2021,Atrevida,0.02,0,1738,5
2021,Atrevida,0.05,0,1738,5
2021,Atrevida,0.05,0,1738,6
2021,Atrevida,0,0,1738,6
2021,Atrevida,0,0,1738,6
2021,Atrevida,0,0.02,1738,6
2021,Atrevida,0.05,0,1738,7
2021,Atrevida,0.3,0,1738,7
2021,Atrevida,0,0,1738,8
2021,Atrevida,0,0.03,1738,8
2021,Atrevida,3.33,0,1738,8
2021,Atrevida,6.26,0.01,1738,9
2021,Atrevida,5,0,1738,9
2021,Atrevida,2.83,0.02,1738,9
2021,Atrevida,3.58,0,1738,10
2021,Atrevida,4.19,0,1738,10
2021,Atrevida,2.99,0,1738,10
2021,Atrevida,3.46,0,1738,11
2021,Atrevida,0.1,0,1738,11
2021,Atrevida,0.05,0,1738,12
2021,Atrevida,0.07,0,1738,12
2021,Atrevida,0.4,0,1738,12
2011,Bare Bluff,NA,NA,1537,4
2011,Bare Bluff,0.08,0.03,1537,5
2011,Bare Bluff,NA,NA,1537,5
2011,Bare Bluff,0.02,0.1,1537,6
