ref,company,name,,Latitude,Longitude,zone,status_2018
540,Cermaq Canada,Fortune Channel,,49.23503,-125.75174,2.3,Active
543,Cermaq Canada,Mussel Rock,,49.25925,-125.86762,2.3,Active
547,MOWI Canada West,Read Island,,50.15363,-125.14656,3.2,Fallow
553,Marine Harvest Canada Inc.,Frederick Arm,,50.46975,-125.26153,3.2,Expired
572,Grieg Seafood BC,Newcomb,,49.64006,-123.65836,3.1,Fallow
706,MOWI Canada West,Hardy Bay,,50.73446,-127.44641,3.4,Fallow
728,Cermaq Canada,Sir Edmund Bay,,50.83096,-126.59684,3.3,Active
733,MOWI Canada West,Cyrus Rock,,50.25682,-125.2103,3.2,Fallow
739,MOWI Canada West,Upper Retreat,,50.72183,-126.5681,3.3,Fallow
746,Grieg Seafood BC,Site 13,,49.6291,-123.84265,3.1,Active
753,Mainstream Canada,Cormorant,,49.25719,-125.9244,2.3,Fallow
769,MOWI Canada West,Young Pass,,50.35014,-125.34217,3.2,Fallow
776,Creative Salmon Company,Baxter Islets,,49.13299,-125.78289,2.3,Active
790,MOWI Canada West,Chancellor Channel,,50.41723,-125.66284,3.2,Active
819,Cermaq Canada,Cecil Island,,50.85123,-126.71498,3.3,Fallow
820,MOWI Canada West,Wicklow Point,,50.78659,-126.69153,3.3,Active
821,MOWI Canada West,Glacier Falls,,50.84785,-126.31921,3.3,Active
831,MOWI Canada West,Shelter Pass,,50.88414,-127.5004,3.4,Active
869,Cermaq Canada,Maude Island,,50.85271,-126.75743,3.3,Active
871,Grieg Seafood BC,Barnes Bay,,50.32437,-125.26039,3.2,Active
884,Marine Harvest Canada Inc.,Lochalsh Bay,,52.53399,-128.3602,3.5,Expired
892,MOWI Canada West,Bell Island,,50.83242,-127.52057,3.4,Active
1059,MOWI Canada West,Sargeaunt Pass,,50.67346,-126.18595,3.3,Active
1079,Grieg Seafood BC,Steamer,,49.8868,-126.7911,2.4,Active
1136,MOWI Canada West,Shaw Point,,50.48527,-125.88981,3.2,Active
1144,Cermaq Canada,Burdwood,,50.7969,-126.49581,3.3,Active
1145,MOWI Canada West,Potts Bay,,50.6492,-126.6182,3.3,Active
1148,Cermaq Canada,Binns Island,,49.34182,-125.95328,2.3,Fallow
1158,MOWI Canada West,Hohoae Island,,50.0335,-127.21019,2.4,Fallow
1164,MOWI Canada West,Far Side,,50.48576,-125.27429,3.2,Fallow
1167,MOWI Canada West,Egerton Creek,,50.48351,-125.25508,3.2,Fallow
1198,MOWI Canada West,Raynor,,50.89253,-127.25359,3.4,Fallow
1237,MOWI Canada West,Monday Rocks,,50.48588,-127.87584,2.4,Active
1238,MOWI Canada West,Mahatta West,,50.469,-127.83538,2.4,Active
1288,MOWI Canada West,Doyle Island,,50.81456,-127.48698,3.4,Active
1291,Cermaq Canada,McIntyre Lake,,49.30557,-125.81583,2.3,Fallow
1293,MOWI Canada West,Duncan Island,,50.8195,-127.55568,3.4,Active
1299,MOWI Canada West,Thorpe Point,,50.57888,-127.6087,2.4,Fallow
1300,MOWI Canada West,Althorpe,,50.47531,-125.80975,3.2,Active
1335,Cermaq Canada,Wehlis Bay,,50.8641,-126.92374,3.4,Fallow
1336,Cermaq Canada,Simmonds Point,,50.87791,-126.90153,3.4,Fallow
1338,MOWI Canada West,Mahatta East,,50.4746,-127.78758,2.4,Active
1350,MOWI Canada West,Shelter Bay,,50.96555,-127.45345,3.4,Active
1351,MOWI Canada West,Marsh Bay,,50.90567,-127.34239,3.4,Active
1376,MOWI Canada West,Cleagh Creek,,50.48224,-127.73243,2.4,Fallow
1382,MOWI Canada West,Robertson,,50.93155,-127.42258,3.4,Active
1401,Cermaq Canada,Brent Island,,50.28613,-125.34917,3.2,Active
1419,Creative Salmon Company,McCall Islets,,49.14146,-125.73122,2.3,Fallow
1472,Cermaq Canada,West Side,,49.27928,-125.83065,2.3,Fallow
1507,Cermaq Canada,Millar Channel,,49.37622,-126.09003,2.3,Active
1537,Cermaq Canada,Bare Bluff,,49.32702,-125.79902,2.3,Active
1554,Golden Eagle Sable Fish,Charlie's Place,,50.04149,-127.17617,2.4,Active
1580,Marine Harvest Canada Inc.,Jackson Passage,,52.53727,-128.40286,3.5,Expired
1581,MOWI Canada West,Hardwicke,,50.41339,-125.76974,3.2,Active
1586,MOWI Canada West,Doctor Islets,,50.65373,-126.28925,3.3,Active
1596,Creative Salmon Company,Dawley Pass,,49.16641,-125.7686,2.3,Active
1618,MOWI Canada West,Humphrey Rock,,50.69682,-126.25532,3.3,Active
1691,MOWI Canada West,Kid Bay,,52.80048,-128.40111,3.5,Active
1697,Grieg Seafood BC,Culloden,,49.79595,-124.10162,3.1,Active
1698,Grieg Seafood BC,Ahlstrom,,49.7793,-124.15395,3.1,Active
1700,Grieg Seafood BC,Muchalat South,,49.64012,-126.32735,2.4,Active
1702,MOWI Canada West,Goat Cove,,52.78726,-128.4199,3.5,Active
1705,Grieg Seafood BC,Williamson,,49.65623,-126.42849,2.4,Active
1738,Grieg Seafood BC,Atrevida,,49.65603,-126.45404,2.4,Active
1762,Grieg Seafood BC,Gore,,49.6466,-126.43167,2.4,Active
1789,Grieg Seafood BC,Concepcion,,49.65923,-126.47587,2.4,Active
1825,Grieg Seafood BC,Noo-la,,50.60799,-126.36301,3.3,Active
1839,Grieg Seafood BC,Wa-kwa,,50.60106,-126.34741,3.3,Active
1849,Grieg Seafood BC,Muchalat North,,49.64394,-126.33953,2.4,Active
1862,Grieg Seafood BC,Hecate,,49.86799,-126.7573,2.4,Active
1863,Grieg Seafood BC,Esperanza,,49.87814,-126.76145,2.4,Active
1872,Kyuquot Seafoods,Surprise Island,,50.04707,-127.29662,2.4,Active
1895,MOWI Canada West,Sheep Passage,,52.79609,-128.31093,3.5,Fallow
1896,MOWI Canada West,Lime Point,,52.78538,-128.33133,3.5,Fallow
1899,Creative Salmon Company,Warne Island,,49.12815,-125.74923,2.3,Active
6668,Cermaq Canada,Plover Point,,49.21433,-125.76693,2.3,Active
7053,MOWI Canada West,Ghi ya,,50.90078,-127.93638,3.4,Active
7054,MOWI Canada West,Wanx talis,,50.89322,-127.89568,3.4,Active
7114,Cermaq Canada,Yaakswiis,,49.35577,-126.07951,2.3,Fallow
7273,Grieg Seafood BC,Tsa-ya,,50.61225,-126.33212,3.3,Active
7713,MOWI Canada West,Cougar,,52.71993,-128.57432,3.5,Fallow
7714,MOWI Canada West,Alexander,,52.67648,-128.57494,3.5,Active
666001,MOWI Canada West,Jackson Pass,,52.53826,-128.4001,3.5,
666002,Middle Bay Partnership,Middle Point,,50.092234,-125.313401,3.2,Decommissioned
666003,MOWI Canada West,Conville Point,,50.18888,-125.1418,3.2,
