esc,river,year,area,exp
75000,BELLA COOLA RIVER,1954,8,67.00%
750,SONGHEES CREEK,1954,12,0.282936634700165
NA,POTTS LAGOON CREEK,1954,12,0.282936634700165
400,LULL CREEK,1954,12,0.282936634700165
NA,DREW CREEK,1954,7,41.00%
NA,DSULISH CREEK,1954,10,55.00%
NA,KILDIDT LAGOON #2 CREEK,1954,7,41.00%
35000,CLATSE CREEK,1954,7,41.00%
NA,CHARLES CREEK,1954,12,0.282936634700165
3500,TANKEEAH RIVER,1954,7,41.00%
NA,BOSS CREEK,1954,10,55.00%
NA,ROBERT ARM CREEK,1954,9,75.00%
NA,SPILLER LAGOON CREEK,1954,7,41.00%
NA,WAHKANA BAY CREEK,1954,12,0.282936634700165
25000,JENNY BAY CREEKS,1954,8,67.00%
400,DEER PASS LAGOON CREEKS,1954,7,41.00%
NA,CUTTER COVE CREEK,1954,12,0.282936634700165
NA,WAHGILAH CREEK,1954,7,41.00%
3500,BEALE'S LAGOON CREEK,1954,7,41.00%
3500,KLINAKLINI RIVER,1954,12,0.282936634700165
NA,KILDIDT CREEK,1954,7,41.00%
NA,ALLARD CREEK,1954,9,75.00%
4000,NOOSESECK RIVER,1954,8,67.00%
NA,REAK CREEK,1954,7,41.00%
NA,JENNIS BAY CREEK,1954,12,0.282936634700165
400,TALEOMEY RIVER,1954,8,67.00%
NA,PORT HARVEY LAGOON CREEKS,1954,12,0.282936634700165
15000,KUNSOOT RIVER,1954,7,41.00%
3500,KISAMEET RIVER,1954,8,67.00%
200,MARTIN RIVER,1954,8,67.00%
3500,SKOWQUILTZ RIVER,1954,8,67.00%
NA,BIG CREEK,1954,7,41.00%
NA,MILTON RIVER,1954,9,75.00%
NA,SUTHERLAND RIVER,1954,12,0.282936634700165
750,CAMP CREEK,1954,8,67.00%
NA,THORWALD CREEK,1954,8,67.00%
NA,CORTINA CREEK,1954,12,0.282936634700165
NA,TAKUSH RIVER,1954,10,55.00%
NA,KLEMTU CREEK,1954,7,41.00%
15000,MUSSEL RIVER,1954,7,41.00%
NA,STEWART CREEK,1954,7,41.00%
NA,INZIANA RIVER,1954,9,75.00%
NA,WANNOCK RIVER,1954,9,75.00%
NA,BOSWELL CREEK,1954,10,55.00%
NA,SPILLER INLET CREEK,1954,7,41.00%
NA,BULLOCK CHANNEL #3 SOUTH CREEK,1954,7,41.00%
NA,JENNY BAY WEST CREEK,1954,8,67.00%
NA,ADA COVE CREEK,1954,7,41.00%
300,NICKNAQUEET RIVER,1954,9,75.00%
1500,BOLIN BAY CREEK,1954,7,41.00%
25,PROTECTION POINT CREEK,1954,12,0.282936634700165
NA,CORDUROY CREEK,1954,10,55.00%
NA,TUNO CREEK,1954,7,41.00%
NA,BRADLEY CREEK,1954,12,0.282936634700165
NA,SHIP POINT CREEK,1954,7,41.00%
31402,HOOK NOSE CREEK,1954,8,67.00%
35000,NOOTUM RIVER,1954,8,67.00%
NA,WALDON CREEK,1954,12,0.282936634700165
0,ASHLULM CREEK,1954,9,75.00%
NA,SHOAL CREEK,1954,12,0.282936634700165
NA,EMILY CREEK,1954,7,41.00%
NA,"NASCALL CREEK",1954,8,67.00%
200,GILFORD CREEK,1954,12,0.282936634700165
NA,"NAKA CREEK",1954,12,0.282936634700165
7500,WORAN CREEK,1954,8,67.00%
400,AHNUHATI RIVER,1954,12,0.282936634700165
7500,KINGCOME RIVER,1954,12,0.282936634700165
NA,SIMOOM SOUND CREEK,1954,12,0.282936634700165
NA,AMBACK CREEK,1954,9,75.00%
NA,TUNO CREEK WEST,1954,7,41.00%
75,DEEP BAY CREEK,1954,8,67.00%
NA,HEALTH LAGOON CREEK,1954,12,0.282936634700165
400,GORILLA CREEK,1954,7,41.00%
NA,CALL CREEK,1954,12,0.282936634700165
400,TOM BAY CREEK,1954,7,41.00%
NA,SHEEMAHANT RIVER,1954,9,75.00%
NA,GRANTHAM CREEK,1954,8,67.00%
7500,EMBLEY CREEK,1954,12,0.282936634700165
NA,DE COSMOS LAGOON CREEK,1954,8,67.00%
NA,NOOKLIKONNIK CREEK,1954,8,67.00%
NA,NUSASH CREEK,1954,8,67.00%
NA,FRANKLIN RIVER,1954,12,0.282936634700165
NA,MARION CREEK,1954,12,0.282936634700165
NA,CALDER CREEK,1954,7,41.00%
200,MARY COVE CREEK,1954,7,41.00%
NA,SHELTER BAY CREEK,1954,12,0.282936634700165
750,SCOTT COVE CREEK,1954,12,0.282936634700165
NA,CLAYTON FALLS CREEK,1954,8,67.00%
NA,WASHWASH RIVER,1954,9,75.00%
15000,TSITIKA RIVER,1954,12,0.282936634700165
75,ROBBERS KNOB CREEK,1954,12,0.282936634700165
35000,EVANS INLET #3 CREEK,1954,8,67.00%
NA,CACOOHTIN CREEK,1954,8,67.00%
NA,NEWICHY CREEK,1954,9,75.00%
NA,HAND CREEK,1954,12,0.282936634700165
25,BOUGHEY CREEK,1954,12,0.282936634700165
1500,BULLOCK CHANNEL CREEKS,1954,7,41.00%
13500,KWAKUSDIS RIVER,1954,7,41.00%
NA,THIEMER CREEK,1954,12,0.282936634700165
200,NIMMO CREEK,1954,12,0.282936634700165
NA,FISH CREEK,1954,8,67.00%
NA,ALLARDYCE CREEK,1954,12,0.282936634700165
NA,FANNIE COVE RIGHT HAND CREEK,1954,7,41.00%
75,BULLEY BAY CREEK,1954,7,41.00%
NA,MCINTOSH CREEK,1954,12,0.282936634700165
NA,DOCEE RIVER,1954,10,55.00%
NA,GEORGE HALL CREEK,1954,8,67.00%
NA,COHOE CREEK,1954,12,0.282936634700165
3500,FRENCHMAN CREEK,1954,8,67.00%
NA,JENNY BAY SOUTH CREEK,1954,8,67.00%
NA,THORSEN CREEK,1954,8,67.00%
NA,NUSATSUM RIVER,1954,8,67.00%
NA,RICHMOND BAY CREEK,1954,12,0.282936634700165
NA,ELLEN COVE CREEK,1954,12,0.282936634700165
NA,SALLOOMT RIVER,1954,8,67.00%
NA,JENNY BAY EAST CREEK,1954,8,67.00%
NA,CRACROFT CREEK,1954,12,0.282936634700165
NA,SKEENE RIVER,1954,12,0.282936634700165
NA,SOCKEYE CREEK,1954,7,41.00%
NA,NOOHALK CREEK,1954,8,67.00%
NA,COLLINSON CREEK,1954,12,0.282936634700165
NA,FANCY COVE HEAD CREEK,1954,7,41.00%
NA,BLIND CREEK,1954,12,0.282936634700165
NA,NOOSGULCH RIVER,1954,8,67.00%
75,QUATLENA RIVER,1955,8,25.00%
400,LAGOON CREEK,1955,7,51.00%
NA,PHYLLIS LAKE CREEK,1955,12,NaN
200,WATSON BAY CREEK,1955,7,51.00%
200,MATSIU CREEK,1955,12,NaN
7500,KEOGH RIVER,1955,12,NA
NA,ATNARKO SPAWNING CHANNEL,1955,8,25.00%
750,NECLEETSCONNAY RIVER,1955,8,25.00%
NA,MCALISTER CREEK,1955,12,NA
75,CANYON CREEK,1955,7,51.00%
3500,CHAMISS CREEK,1955,7,51.00%
NA,ROBINSON CREEKS,1955,7,51.00%
NA,ELLERSLIE LAGOON CREEK,1955,7,51.00%
5500,ROSCOE CREEK,1955,7,51.00%
NA,HAUSER CREEK,1955,7,51.00%
75,WINDY BAY CREEK,1955,7,51.00%
NA,KENNETH RIVER,1955,12,NaN
NA,GRASSY BAY CREEK,1955,8,25.00%
3500,CASCADE RIVER,1955,8,25.00%
NA,COLD CREEK,1955,8,25.00%
7500,COOPER INLET CREEKS,1955,7,51.00%
NA,STEELHEAD CREEK,1955,8,25.00%
NA,YOUNG RIVER,1955,9,90.00%
NA,WAHKASH CREEK,1955,12,NaN
NA,SANDELL RIVER,1955,9,90.00%
20000,SALMON BAY CREEK,1955,7,51.00%
12500,QUARTCHA CREEK,1955,7,51.00%
NA,WATT CREEK,1955,7,51.00%
75,POISON COVE CREEK,1955,7,51.00%
200,GOAT BUSHU CREEK,1955,7,51.00%
25,"NAMU RIVER",1955,8,25.00%
NA,WINDFALL CREEK,1955,7,51.00%
NA,HOCHSTADER BASIN CREEKS (2),1955,7,51.00%
25,NEW VANCOUVER CREEK,1955,12,NaN
NA,FOUR LAKES CREEK,1955,8,25.00%
200,SAGAR CREEK,1955,8,25.00%
400,KOKISH RIVER,1955,12,NA
NA,TSULTON RIVER,1955,12,NaN
NA,LOCKHART GORDON CREEK,1955,9,90.00%
1500,VINER SOUND CREEK,1955,12,NA
NA,RETURN CHANNEL CREEKS,1955,7,51.00%
1800,WEBSTER LAKE CREEK,1955,7,51.00%
NA,DORIS CREEK,1955,9,90.00%
35000,DEAN RIVER,1955,8,25.00%
NA,PENO CREEK,1955,7,51.00%
NA,DRANEY CREEK,1955,9,90.00%
NA,GENESEE CREEK,1955,9,90.00%
35000,AHTA RIVER,1955,12,NA
NA,HOGAN CREEK,1955,9,90.00%
NA,ATNARKO RIVER,1955,8,25.00%
40000,KWATNA RIVER,1955,8,25.00%
1500,CARTER RIVER,1955,7,51.00%
1500,AHTA VALLEY CREEK,1955,12,NA
25000,NEEKAS CREEK,1955,7,51.00%
750,KWALATE CREEK,1955,12,NA
3500,HOEYA SOUND CREEK,1955,12,NA
NA,HYCUND CREEK,1955,12,NaN
400,NOEICK RIVER,1955,8,25.00%
75,TSULQUATE RIVER,1955,12,NA
750,SHUSHARTIE RIVER,1955,12,NA
0,BIG BAY CREEK,1955,7,51.00%
3500,LARD CREEK,1955,7,51.00%
NA,BEAVER CREEK,1955,9,90.00%
0,WALKER LAKE CREEK,1955,7,51.00%
NA,CHOKE PASS CREEKS (3),1955,7,51.00%
NA,PERRY CREEK,1955,9,90.00%
NA,CLYAK RIVER,1955,9,90.00%
25,NIGGER CREEK,1955,12,NaN
NA,CREASY BAY RIVER,1955,12,NaN
NA,SALLIE CREEK,1955,12,NA
75000,GLENDALE CREEK,1955,12,NA
NA,HAUSKIN CREEK,1955,12,NA
NA,TUNA RIVER,1955,12,NA
750,FULMORE RIVER,1955,12,NA
1500,KITASU CREEK,1955,7,51.00%
NA,QUATSESE RIVER,1955,12,NaN
7500,ADAM RIVER,1955,12,NA
1500,NIMPKISH RIVER,1955,12,NA
3500,KIMSQUIT RIVER,1955,8,25.00%
NA,ICY RIVER,1955,12,NaN
NA,GREEN RIVER,1955,8,25.00%
75,KAMANO BAY CREEK,1955,12,NA
NA,TANCRED CREEK,1955,12,NaN
NA,WALDEN CREEK II,1955,12,NaN
NA,RAINBOW CREEK,1955,7,51.00%
85000,KOEYE RIVER,1955,8,25.00%
NA,NIEL CREEK,1955,9,90.00%
400,GEISH CREEK,1955,7,51.00%
NA,KILPALA RIVER,1955,12,NaN
2200,KADJUSDIS RIVER,1955,7,51.00%
NA,BUGHOUSE CREEK,1955,12,NA
400,HIRD POINT CREEK,1955,7,51.00%
1500,BOTTLENECK CREEK,1955,7,51.00%
NA,RESCUE BAY CREEKS,1955,7,51.00%
NA,OATSOALIS CREEK,1955,9,90.00%
3500,PINE RIVER,1955,7,51.00%
0,DALLERY CREEK,1955,9,90.00%
750,KORICH CREEK,1955,7,51.00%
NA,NEKITE SPAWNING CHANNEL,1955,10,40.00%
NA,SNOOTLI CREEK,1955,8,25.00%
22500,NEKITE RIVER,1955,10,40.00%
NA,CARRIDEN CREEK,1955,12,NA
NA,LILIAN CREEK,1955,7,51.00%
35000,WAKEMAN RIVER,1955,12,NA
400,QUATSE RIVER,1955,12,NA
75,MILLS CREEK,1955,12,NA
NA,EVE RIVER,1955,12,NA
400,MACKENZIE RIVER,1955,12,NA
0,MCLOUGHLIN CREEK,1955,7,51.00%
NA,CRAB HARBOUR CREEK,1955,8,25.00%
NA,MACHMELL RIVER,1955,9,90.00%
NA,CANOE CREEK,1955,10,40.00%
NA,SOUND POINT LAGOON CREEK,1955,7,51.00%
NA,MACNAIR CREEK,1955,9,90.00%
5500,JAMES BAY CREEK,1955,7,51.00%
NA,GARBAGE DUMP CREEK,1955,8,25.00%
NA,"NAHWITTI RIVER",1955,12,NA
NA,"NAYSASH CREEK",1955,10,40.00%
NA,NIEUMIAMUS CREEK,1955,8,25.00%
3500,STRANDBY RIVER,1955,12,NaN
400,ASSEEK RIVER,1955,8,25.00%
750,ELCHO CREEK,1955,8,25.00%
3500,CLUXEWE RIVER,1955,12,NA
75,DUTHIE CREEK,1955,7,51.00%
NA,SKIMLETS CREEK,1955,8,25.00%
NA,TASTSQUAN CREEK,1955,8,25.00%
NA,HAGENSBORG SLOUGH,1955,8,25.00%
NA,TZEO RIVER,1955,9,90.00%
1500,CHUCKWALLA RIVER,1955,9,90.00%
0,SMOKEHOUSE CREEK,1955,10,40.00%
NA,NEECHANZ RIVER,1955,9,90.00%
750,SIM RIVER,1955,12,NA
NA,BOND RIVER NO. 1,1955,12,NaN
NA,BULLOCK CHANNEL #2 CREEK,1955,7,51.00%
NA,MAPLE CREEK,1955,12,NA
NA,HYDE CREEK,1955,12,NA
NA,THIRD CREEK,1955,8,25.00%
NA,KWAKIUTL CREEK,1955,7,51.00%
NA,WALKER ISLAND CREEK,1955,8,25.00%
0,WALKUM CREEK,1955,10,40.00%
NA,AIRPORT SIDE CHANNEL,1955,8,25.00%
NA,MARGARET CREEK,1955,10,40.00%
NA,CHIC CHIC CREEK,1955,10,40.00%
3500,KILBELLA RIVER,1955,9,90.00%
NA,BULLOCK CHANNEL #3 NORTH CREEK,1955,7,51.00%
75000,KAKWEIKEN RIVER,1955,12,NA
NA,FANNIE COVE LEFT HAND CREEK,1955,7,51.00%
400,SALLY CREEK,1955,7,51.00%
NA,SHOAL HARBOUR CREEK,1955,12,NA
24000,"NAMELESS CREEK",1955,7,51.00%
110000,KAINET CREEK,1955,7,51.00%
3500,JOHNSTON CREEK,1955,9,90.00%
NA,OWIKENO LAKE,1955,9,90.00%
NA,HAGEN CREEK,1955,10,40.00%
750,LEE CREEK,1955,7,51.00%
150000,BELLA COOLA RIVER,1955,8,25.00%
200,SONGHEES CREEK,1955,12,NA
NA,POTTS LAGOON CREEK,1955,12,NA
3500,LULL CREEK,1955,12,NA
NA,DREW CREEK,1955,7,51.00%
75,DSULISH CREEK,1955,10,40.00%
NA,KILDIDT LAGOON #2 CREEK,1955,7,51.00%
36000,CLATSE CREEK,1955,7,51.00%
NA,CHARLES CREEK,1955,12,NA
550,TANKEEAH RIVER,1955,7,51.00%
NA,BOSS CREEK,1955,10,40.00%
25,ROBERT ARM CREEK,1955,9,90.00%
NA,SPILLER LAGOON CREEK,1955,7,51.00%
NA,WAHKANA BAY CREEK,1955,12,NaN
6000,JENNY BAY CREEKS,1955,8,25.00%
NA,DEER PASS LAGOON CREEKS,1955,7,51.00%
NA,CUTTER COVE CREEK,1955,12,NaN
NA,WAHGILAH CREEK,1955,7,51.00%
750,BEALE'S LAGOON CREEK,1955,7,51.00%
7500,KLINAKLINI RIVER,1955,12,NA
NA,KILDIDT CREEK,1955,7,51.00%
NA,ALLARD CREEK,1955,9,90.00%
5000,NOOSESECK RIVER,1955,8,25.00%
NA,REAK CREEK,1955,7,51.00%
NA,JENNIS BAY CREEK,1955,12,NA
750,TALEOMEY RIVER,1955,8,25.00%
NA,PORT HARVEY LAGOON CREEKS,1955,12,NA
12500,KUNSOOT RIVER,1955,7,51.00%
200,KISAMEET RIVER,1955,8,25.00%
75,MARTIN RIVER,1955,8,25.00%
400,SKOWQUILTZ RIVER,1955,8,25.00%
NA,BIG CREEK,1955,7,51.00%
400,MILTON RIVER,1955,9,90.00%
NA,SUTHERLAND RIVER,1955,12,NaN
25,CAMP CREEK,1955,8,25.00%
NA,THORWALD CREEK,1955,8,25.00%
NA,CORTINA CREEK,1955,12,NaN
0,TAKUSH RIVER,1955,10,40.00%
NA,KLEMTU CREEK,1955,7,51.00%
3500,MUSSEL RIVER,1955,7,51.00%
NA,STEWART CREEK,1955,7,51.00%
0,INZIANA RIVER,1955,9,90.00%
400,WANNOCK RIVER,1955,9,90.00%
NA,BOSWELL CREEK,1955,10,40.00%
NA,SPILLER INLET CREEK,1955,7,51.00%
NA,BULLOCK CHANNEL #3 SOUTH CREEK,1955,7,51.00%
NA,JENNY BAY WEST CREEK,1955,8,25.00%
NA,ADA COVE CREEK,1955,7,51.00%
NA,NICKNAQUEET RIVER,1955,9,90.00%
1500,BOLIN BAY CREEK,1955,7,51.00%
25,PROTECTION POINT CREEK,1955,12,NA
NA,CORDUROY CREEK,1955,10,40.00%
NA,TUNO CREEK,1955,7,51.00%
NA,BRADLEY CREEK,1955,12,NaN
250,SHIP POINT CREEK,1955,7,51.00%
1319,HOOK NOSE CREEK,1955,8,25.00%
750,NOOTUM RIVER,1955,8,25.00%
NA,WALDON CREEK,1955,12,NA
NA,ASHLULM CREEK,1955,9,90.00%
NA,SHOAL CREEK,1955,12,NaN
NA,EMILY CREEK,1955,7,51.00%
NA,"NASCALL CREEK",1955,8,25.00%
400,GILFORD CREEK,1955,12,NA
NA,"NAKA CREEK",1955,12,NA
15000,WORAN CREEK,1955,8,25.00%
7500,AHNUHATI RIVER,1955,12,NA
3500,KINGCOME RIVER,1955,12,NA
NA,SIMOOM SOUND CREEK,1955,12,NA
NA,AMBACK CREEK,1955,9,90.00%
NA,TUNO CREEK WEST,1955,7,51.00%
25,DEEP BAY CREEK,1955,8,25.00%
NA,HEALTH LAGOON CREEK,1955,12,NA
75,GORILLA CREEK,1955,7,51.00%
NA,CALL CREEK,1955,12,NA
NA,TOM BAY CREEK,1955,7,51.00%
NA,SHEEMAHANT RIVER,1955,9,90.00%
NA,GRANTHAM CREEK,1955,8,25.00%
25,EMBLEY CREEK,1955,12,NA
NA,DE COSMOS LAGOON CREEK,1955,8,25.00%
NA,NOOKLIKONNIK CREEK,1955,8,25.00%
NA,NUSASH CREEK,1955,8,25.00%
NA,FRANKLIN RIVER,1955,12,NaN
NA,MARION CREEK,1955,12,NaN
NA,CALDER CREEK,1955,7,51.00%
200,MARY COVE CREEK,1955,7,51.00%
NA,SHELTER BAY CREEK,1955,12,NaN
NA,SCOTT COVE CREEK,1955,12,NA
NA,CLAYTON FALLS CREEK,1955,8,25.00%
NA,WASHWASH RIVER,1955,9,90.00%
7500,TSITIKA RIVER,1955,12,NA
25,ROBBERS KNOB CREEK,1955,12,NA
400,EVANS INLET #3 CREEK,1955,8,25.00%
NA,CACOOHTIN CREEK,1955,8,25.00%
NA,NEWICHY CREEK,1955,9,90.00%
NA,HAND CREEK,1955,12,NaN
25,BOUGHEY CREEK,1955,12,NA
NA,BULLOCK CHANNEL CREEKS,1955,7,51.00%
7000,KWAKUSDIS RIVER,1955,7,51.00%
NA,THIEMER CREEK,1955,12,NA
25,NIMMO CREEK,1955,12,NA
NA,FISH CREEK,1955,8,25.00%
NA,ALLARDYCE CREEK,1955,12,NaN
NA,FANNIE COVE RIGHT HAND CREEK,1955,7,51.00%
75,BULLEY BAY CREEK,1955,7,51.00%
NA,MCINTOSH CREEK,1955,12,NaN
NA,DOCEE RIVER,1955,10,40.00%
NA,GEORGE HALL CREEK,1955,8,25.00%
NA,COHOE CREEK,1955,12,NA
750,FRENCHMAN CREEK,1955,8,25.00%
NA,JENNY BAY SOUTH CREEK,1955,8,25.00%
NA,THORSEN CREEK,1955,8,25.00%
NA,NUSATSUM RIVER,1955,8,25.00%
NA,RICHMOND BAY CREEK,1955,12,NaN
NA,ELLEN COVE CREEK,1955,12,NaN
NA,SALLOOMT RIVER,1955,8,25.00%
NA,JENNY BAY EAST CREEK,1955,8,25.00%
NA,CRACROFT CREEK,1955,12,NaN
NA,SKEENE RIVER,1955,12,NaN
NA,SOCKEYE CREEK,1955,7,51.00%
NA,NOOHALK CREEK,1955,8,25.00%
NA,COLLINSON CREEK,1955,12,NaN
NA,FANCY COVE HEAD CREEK,1955,7,51.00%
NA,BLIND CREEK,1955,12,NA
NA,NOOSGULCH RIVER,1955,8,25.00%
750,QUATLENA RIVER,1956,8,46.00%
750,LAGOON CREEK,1956,7,68.00%
NA,PHYLLIS LAKE CREEK,1956,12,0.549968081128436
3500,WATSON BAY CREEK,1956,7,68.00%
